form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00764829,SB21B.I6006,,,ORG,CARD SERVICES,,,,,,PO BOX 84032,,COLUMBUS,GA,31908,,,2024-07-01,12146.45,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00764829,SB21B.I6016,SB21B.I6006,,ORG,AMERICAN AIR,,,,,,CORPORATE HQ,SUITE 5-210,FORT WORTH,TX,76155,,,2024-07-01,2433.41,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6022,SB21B.I6006,,ORG,ARIZONA BILTMORE,,,,,,2400 E MISSOURI AVE,,PHOENIX,AZ,85016,,,2024-07-01,2805.09,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6013,SB21B.I6006,,ORG,DELTA AIRLINES,,,,,,CORPORATE HQ,1030 DELTA BLVD,ATLANTA,GA,30320,,,2024-07-01,1589.90,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6018,SB21B.I6006,,ORG,HERTZ RENTAL CARS,,,,,,225 BRAE BLVD,,PARK RIDGE,NJ,07656,,,2024-07-01,540.90,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6014,SB21B.I6006,,ORG,JOE'S STONE CRAB OF DC,,,,,,750 15TH STREET NW,,WASHINGTON,DC,20005,,,2024-07-01,470.63,,FOOD / BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6028,SB21B.I6006,,ORG,MARRIOTT,,,,,,CORPORATE HQ,10400 FERNWOOD RD,BETHESDA,MD,20817,,,2024-07-01,186.11,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6027,SB21B.I6006,,ORG,NATIONAL CAR RENTAL,,,,,,CORPORATE HQ - 10124 NATURAL BRIDG,,ST. LOUIS,MO,63134,,,2024-07-01,450.98,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6026,SB21B.I6006,,ORG,NEW YORK RACING ASSOC,,,,,,3803 KIMWELL DRIVE,,WINSTON-SALEM,NC,27103,,,2024-07-01,532.00,,FACILITY RENTAL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6025,SB21B.I6006,,ORG,SHIP STICKS,,,,,,11400 N. JOG ROAD,SUITE 300,PALM BEACH GARDENS,FL,33418,,,2024-07-01,189.96,,POSTAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6012,SB21B.I6006,,ORG,THE MONOCLE ON CAPITOL,,,,,,107 D STREET NE,,WASHINGTON,DC,20002,,,2024-07-01,94.19,,FOOD / BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6019,SB21B.I6006,,ORG,UBER,,,,,,CORPORATE HQ,1455 MARKET ST,SAN FRANCISCO,CA,94103,,,2024-07-01,175.10,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I6021,SB21B.I6006,,ORG,UNITED,,,,,,233 SOUTH WACKER DRIVE,,CHICAGO,IL,60606,,,2024-07-01,2300.80,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00764829,SB21B.I5953,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22812,,,2024-07-01,250.00,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00764829,SB21B.I5973,,,ORG,THE PROSPER GROUP,,,,,,P.O. BOX 488,,GREENWOOD,IN,46162,,,2024-07-05,1.04,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00764829,SB21B.I5989,,,ORG,WIN RED TECHNICIAL SERVICES,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-05,0.97,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00764829,SB21B.I5962,,,IND,,DOUFEXIS,JORDAN,,,,P.O. BOX 590012,,BIRMINGHAM,AL,35259,,,2024-07-11,10000.00,,POLITICAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
