form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00455683,EB3223,,,ORG,ActBlue,,,,,,PO  Box 382110,,Cambridge,MA,022382110,,,2024-11-30,160.00,,Credit Card Processing Fee,003,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3225,,,ORG,Bank Of America,,,,,,299 Ocean Ave.,,Laguna Beach,CA,92651,,,2024-11-30,1799.99,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455683,XB17EB3225,EB3225,SB21B,ORG,Times Media Group,,,,,,1900 W. Broadway Rd.,,Tempe,AZ,95282,,,2024-11-30,1680.00,,Print Ads,004,,,,,,,,,,,,Bank Of America,299 Ocean Ave.,,Laguna Beach,CA,92651,X,
SB21B,C00455683,EB3221,,,ORG,ActBlue,,,,,,PO  Box 382110,,Cambridge,MA,022382110,,,2024-12-01,2.78,,Credit Card Processing Fee,003,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3229,,,ORG,"GOULD & ORELLANA, LLC",,,,,,12501 Imperial Highway Ste. 200,,Norwalk,CA,90650,,,2024-12-06,700.00,,PAC Management/ Political Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3231,,,ORG,ActBlue,,,,,,PO  Box 382110,,Cambridge,MA,022382110,,,2024-12-08,8.35,,Credit Card Processing Fee,003,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3233,,,ORG,ActBlue,,,,,,PO  Box 382110,,Cambridge,MA,022382110,,,2024-12-15,27.59,,Credit Card Processing Fee,003,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3239,,,ORG,ActBlue,,,,,,PO  Box 382110,,Cambridge,MA,022382110,,,2024-12-22,13.90,,Credit Card Processing Fee,003,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3244,,,ORG,Mailchimp,,,,,,675 Ponce de Leon Ave NE Ste. 5000,,Atlanta,GA,30308,,,2024-12-26,54.00,,Electronics Communications,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3242,,,ORG,Zoom Inc.,,,,,,55 Almaden Blvd 6th Floor,,San Jose,CA,95113,,,2024-12-26,65.99,,Online Group Meeting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3237,,,ORG,ActBlue,,,,,,PO  Box 382110,,Cambridge,MA,022382110,,,2024-12-29,7.71,,Credit Card Processing Fee,003,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00455683,EB3247,,,ORG,Bank Of America,,,,,,299 Ocean Ave.,,Laguna Beach,CA,92651,,,2024-12-31,119.99,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
