form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00841601,SB21B.4199,,,ORG,BillMatrix,,,,,,P.O. Box 979,,Brookfield,WI,53008,,,2023-09-05,272.00,,utility,001,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4115,,,ORG,BillMatrix,,,,,,P.O. Box 979,,Brookfield,WI,53008,,,2023-10-05,268.00,,Utility Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4219,,,ORG,EZText.com,,,,,,548 Market Street,,San Francisco,CA,94104,,,2023-09-11,164.70,,Text Campaign,003,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4189,,,ORG,JettCo,,,,,,1120 Briargate Circle ,21851,Columbia,SC,29210,,,2023-09-02,600.00,,"Website, back office setup, email system, web management",001,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4127,,,ORG,JettCo,,,,,,1120 Briargate Circle ,21851,Columbia,SC,29210,,,2023-10-06,100.00,,Canva Art- Virtual/Online Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4148,,,ORG,JettCo,,,,,,1120 Briargate Circle ,21851,Columbia,SC,29210,,,2023-10-09,47.00,,Wave Banner Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4302,,,ORG,Meta,,,,,,1 Hacker Way,,Menlo Park,CA,94025,S2023,Special-Primary,2023-09-13,63.00,,Special Election Vote Builder,004,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4299,,,ORG,Meta,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2023-09-23,42.00,,North Columbia Civic Club Push,004,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4133,,,ORG,Meta,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2023-10-10,13.00,,Marketing Push- Event Post,,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4155,,,ORG,NAACP,,,,,,PO Box 11324,,Columbia,SC,29211,,,2023-10-13,120.00,,Subscribing Membership,,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4173,,,ORG,NAACP,,,,,,PO Box 11324,,Columbia,SC,29211,,,2023-10-15,50.00,,Freedom Fund Contribution,012,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4227,,,ORG,NOP Commerce Store,,,,,,1 Microsoft way,,Redmond,WA,98052,,,2023-09-14,205.34,,Software Plugins - Audio,001,,,,,,,,,,,,,,,,,,,
SB21B,C00841601,SB21B.4271,,,ORG,SFR3,,,,,,6650 Rivers Ave,Suite 100,Charleston,SC,29406,,,2023-07-14,235.00,,Office Space,001,,,,,,,,,,,,,,,,,,,
