form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00376343,V5031D36AD3D81CCCDAC,,,ORG,Regions Bank,,,,,,100 Chesterfield Industrial Blvd,,Chesterfield,MO,630051220,,,2023-03-09,70.42,,Bank Analysis Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V48F1F0E2262D6708DE8,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2023-03-01,2.48,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VCB61496BD3E2F41667E,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2023-03-22,3.65,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VDE9207D2EB97AC08A0D,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-06,26.11,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V57337984EEAC8C705D8,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-07,28.60,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VAD6D48A0281F22D0012,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-08,60.57,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VC95CF9845C2066C30EE,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-09,65.86,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V6F1C6C53F70E2FED81A,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-10,426.55,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VD77D0FDF5E865F808AF,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-13,3609.91,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VD6A7FD42AB7B1E059E2,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-14,494.03,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V2939319A7DA0BCBC454,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-15,345.05,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V3B1889DCD1A757882B9,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-20,58.93,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V5686CCCAE58F2C30DE3,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-21,11.45,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V84FDC9B5418DCEA72FC,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-22,12.65,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V84F3097D479AFCDEDD8,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2023-03-24,-309.28,,Credit Card Fee Adjustment for Gangwish and Hemesath Refunds.,001,,,,,,,,,,,,,,,,,,,
