form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00865444,500173607,,,ORG,Chambers Lopez Strategies,,,,,,PO Box 5539,,Arlington,VA,222050039,,,2024-10-15,23105.07,0.00,Media Production Costs,,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172084,,,ORG,Gambit Strategies,,,,,,2939 Van Ness St NW,Apt 1006,Washington,DC,200084605,,,2024-10-01,-167405.31,0.00,"See Schedule E, Digital Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172759,,,ORG,Gambit Strategies,,,,,,2939 Van Ness St NW,Apt 1006,Washington,DC,200084605,,,2024-10-01,-15287.00,0.00,"See Schedule E, Digital Media Production Costs",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172081,,,PAC,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,,,2024-10-01,-238665.99,0.00,"See Schedule E, Digital Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172082,,,PAC,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,,,2024-10-01,-138829.79,0.00,"See Schedule E, Digital Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500173604,,,PAC,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,,,2024-10-05,-15321.03,0.00,"See Schedule E, Media Production Costs",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500173605,,,PAC,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,,,2024-10-05,-15037.68,0.00,"See Schedule E, Media Production Costs",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500173606,,,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW,Ste 500,Washington,DC,200055006,,,2024-10-03,106.00,0.00,Database Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172064,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-534254.39,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172072,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-489156.02,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172073,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-832296.25,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172074,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-1985772.58,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172075,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-1092128.29,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172076,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-457529.17,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172077,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-600683.24,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172078,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-86326.46,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500172101,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-01,-272538.50,0.00,"See Schedule E, Media Buy",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500173601,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-08,-12656.96,0.00,"See Schedule E, Media Production Costs",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500173602,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-09,-13104.58,0.00,"See Schedule E, Media Production Costs",,,,,,,,,,,,,,,,,,,,
SB21B,C00865444,500173603,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,,,2024-10-16,-30580.18,0.00,"See Schedule E, Media Production Costs",,,,,,,,,,,,,,,,,,,,
