form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00494997,SB29.9000,,,ORG,Chips NY LLC,,,,,,400 Bedford Ave.,Suite 201,Brooklyn,NY,11249,,,2024-09-09,3250.00,,Website Development - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8997,,,ORG,JP Morgan Chase Bank NA,,,,,,PO Box 6185,,Westerville,OH,43086,,,2024-09-09,25.00,,Bank Charges - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8998,,,ORG,JP Morgan Chase Bank NA,,,,,,PO Box 6185,,Westerville,OH,43086,,,2024-09-30,15.00,,Bank Charges - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8991,,,ORG,Netlify,,,,,,44 Montgomery Street,Suite 300,San Francisco,CA,94104,,,2024-07-24,103.44,,Computer Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8992,,,ORG,Netlify,,,,,,44 Montgomery Street,Suite 300,San Francisco,CA,94104,,,2024-08-26,103.44,,Computer Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8993,,,ORG,Netlify,,,,,,44 Montgomery Street,Suite 300,San Francisco,CA,94104,,,2024-09-24,103.44,,Computer Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8990,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave., NW",Suite 750,Washington,DC,20005,,,2024-07-12,685.00,,Legal Services - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8994,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave., NW",Suite 750,Washington,DC,20005,,,2024-09-09,140.00,,Legal Services - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8986,,,ORG,Squarespace Inc,,,,,,8 Clarkson Street,,New York,NY,10014,,,2024-07-09,51.00,,Website - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8983,,,ORG,Twilio,,,,,,101 Spear Street,,San Francisco,CA,94105,,,2024-07-05,89.95,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8984,,,ORG,Twilio,,,,,,101 Spear Street,,San Francisco,CA,94105,,,2024-08-06,89.95,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8985,,,ORG,Twilio,,,,,,101 Spear Street,,San Francisco,CA,94105,,,2024-09-05,89.95,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
