form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00793687,500078660,,,ORG,Momentum Campaign,,,,,,1835 7Th St NW,# 272,Washington,DC,200013107,,,2024-12-19,2323.70,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078670,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-12-08,37.38,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078680,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-12-10,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078671,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-12-15,58.29,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078681,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-12-17,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078662,,,ORG,Tatango,,,,,,600 Stewart St,Ste 400,Seattle,WA,981011217,,,2024-11-26,135.68,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078672,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-12-22,44.36,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078682,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-12-24,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078663,,,ORG,Tatango,,,,,,600 Stewart St,Ste 400,Seattle,WA,981011217,,,2024-12-02,132.50,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078673,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-12-29,35.38,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078683,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-12-31,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078664,,,ORG,Tatango,,,,,,600 Stewart St,Ste 400,Seattle,WA,981011217,,,2024-12-16,740.94,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
