form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00758433,SB21B.5221,,,ORG,Capital One,,,,,,PO Box 60519,,City of Industry,CA,91716,O2024,Other,2024-10-17,2598.36,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.5221.1,SB21B.5221,SB21B,ORG,Cafe Berlin,,,,,,322 Massachusetts Ave NE,,Washington,DC,20002,,,2024-05-15,140.50,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.2,SB21B.5221,SB21B,ORG,Cafe Berlin,,,,,,322 Massachusetts Ave NE,,Washington,DC,20002,,,2024-07-24,34.20,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.3,SB21B.5221,SB21B,ORG,Schneider's of Capitol Hill,,,,,,300 Massachusetts Avene NE,,Washington,DC,20002,,,2024-08-03,875.68,,Event Beverages,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.4,SB21B.5221,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,,,2024-08-31,84.46,,FoodBeverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.5,SB21B.5221,SB21B,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2024-09-06,561.95,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.6,SB21B.5221,SB21B,ORG,Cafe Berlin,,,,,,322 Massachusetts Ave NE,,Washington,DC,20002,,,2024-09-19,91.05,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.7,SB21B.5221,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,,,2024-09-30,459.31,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5221.8,SB21B.5221,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,,,2024-09-30,295.51,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5258,,,ORG,Cardmember Service,,,,,,PO Box 1423,,Charlotte,NC,28201,O2024,Other,2024-11-12,208.06,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.5258.0,SB21B.5258,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2024,Other,2024-10-31,208.06,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5257,,,ORG,Les Williamson LLC,,,,,,PO Box 60148,,Washington,DC,20039,O2024,Other,2024-11-04,1114.10,,Compliance Consulting/Postage & Shipping,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.5260,,,CAN,,MANN,TRACEY ROBERT,,,,PO BOX 1084,,SALINA,KS,67402,O2024,Other,2024-11-14,358.13,,Reimbursement,001,,,H0KS01123,,,,,,H,KS,01,,,,,,,,
SB21B,C00758433,SB21B.5260.0,SB21B.5260,SB21B,CAN,,MANN,TRACEY ROBERT,,,,PO BOX 1084,,SALINA,KS,67402,,,2024-09-29,61.64,,Mileage Reimbursement,,,,H0KS01123,,,,,,H,KS,01,,,,,,,X,
SB21B,C00758433,SB21B.5260.1,SB21B.5260,SB21B,CAN,,MANN,TRACEY ROBERT,,,,PO BOX 1084,,SALINA,KS,67402,,,2024-10-02,62.31,,Mileage Reimbursement,,,,H0KS01123,,,,,,H,KS,01,,,,,,,X,
SB21B,C00758433,SB21B.5260.2,SB21B.5260,SB21B,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2024-09-29,35.00,,Airfare,,,,,,,,,,,,,,,,,,,X,
