form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00320218,EB133451,,,PAC,Harry S. Truman Democratic Club - State,,,,,,7886 Royal Down Circle,,Sacramento,CA,95829,,,2024-03-15,5000.00,,Charitable Donation,,,Harry S. Truman Democratic Club - State,,,,,,,,,,,,,,,,,
SB29,C00320218,EB133443,,,PAC,"Kerth for SMUD 2024, Rob",,,,,,1787 Tribute Road,Suite K,Sacramento,CA,95815,,,2024-02-08,2500.00,,Non Federal Contribution,,,"Kerth for SMUD 2024, Rob",,,,,,,,,,,,,,,,,
SB29,C00320218,EB137194,,,ORG,Meristem,,,,,,9200 Fair Oaks Boulevard,,Fair Oaks,CA,95628,,,2024-03-15,5000.00,,Charitable Donation,,,,,,,,,,,,,,,,,,,,
SB29,C00320218,EB133446,,,PAC,"Nguyen for Assembly 2024, Stephanie",,,,,,1700 Tribute Road,Suite 201,Sacramento,CA,95758,,,2024-02-23,5500.00,,Non Federal Contribution,,,"Nguyen for Assembly 2024, Stephanie",,,,,,,,,,,,,,,,,
SB29,C00320218,EB133445,,,PAC,"Ranson for Assembly 2024, Rhodesia",,,,,,"1121 L Street, Suite 211",,Sacramento,CA,95814,P2024,,2024-02-13,5000.00,,Non Federal Contribution,,,"Ranson for Assembly 2024, Rhodesia",,,,,,,,,,,,,,,,,
SB29,C00320218,EB137196,,,ORG,Roberts Family Developement,,,,,,770 Darina Avenue,,Sacramento,CA,95815,,,2024-02-22,5000.00,,Charitable Donation,,,,,,,,,,,,,,,,,,,,
SB29,C00320218,EB133444,,,PAC,"Rose for SMUD Board 2024, Brandon",,,,,,307 Outrigger Way,,Sacramento,CA,95831,,,2024-02-08,5000.00,,Non Federal Contribution,,,"Rose for SMUD Board 2024, Brandon",,,,,,,,,,,,,,,,,
SB29,C00320218,EB137195,,,PAC,Sacramento ACT,,,,,,2701 Del Paso Road,Suite 130-604,Sacramento,CA,95835,,,2024-02-22,1500.00,,Charitable Donation,,,Sacramento ACT,,,,,,,,,,,,,,,,,
SB29,C00320218,EB133447,,,PAC,"Sacramento Asian Pacific Chamber of Commerce, The",,,,,,"2331 Alhambra Boulevard, Suite 100",,Sacramento,CA,95817,,,2024-02-29,2500.00,,Non Federal Contribution,,,"Sacramento Asian Pacific Chamber of Commerce, The",,,,,,,,,,,,,,,,,
SB29,C00320218,EB133452,,,PAC,United Farm Workers,,,,,,P.O. Box 62,,Keene,CA,93531,,,2024-03-15,1000.00,,Charitable Donation,,,United Farm Workers,,,,,,,,,,,,,,,,,
SB29,C00320218,EB133441,,,PAC,"Villescaz for Assembly 2024, Paula",,,,,,1700 Tribute Road,Suite 201,Sacramento,CA,95815,,,2024-02-01,4900.00,,Non Federal Contribution,,,"Villescaz for Assembly 2024, Paula",,,,,,,,,,,,,,,,,
SB29,C00320218,EB137192,,,PAC,Working Families for A Better Sacramento,,,,,,5445 Madison Avenue,,Sacramento,CA,95841,,,2024-02-14,25000.00,,Non Federal Contribution,,,Working Families for A Better Sacramento,,,,,,,,,,,,,,,,,
