form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00489336,SB21B.I17066,,,ORG,CMDI,,,,,,7704 LEESBURG PIKE,,FALLS CHURCH,VA,22043,,,2023-01-03,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I17083,,,PTY,WV REPUBLICAN PARTY,,,,,,PO BOX 2711,,CHARLESTON,WV,25330,,,2023-01-03,2800.00,,EVENT SPONSORSHIP,,C00417063,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I17065,,,ORG,BSB SOLUTIONS,,,,,,3538 SOUTH WAKEFIELD STREET,,ARLINGTON,VA,22206,,,2023-01-10,250.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I17067,,,ORG,THE TOWNSEND GROUP,,,,,,1006 PENDLETON ST,,ALEXANDRIA,VA,22314,,,2023-01-10,11811.67,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I17068,,,ORG,TRUIST BANKCARD CENTER,,,,,,P.O. BOX 580364,,CHARLOTTE,NC,282580340,,,2023-01-23,4986.06,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,SEE BELOW SUB VENDORS REACHING ITEMIZATION THRESHOLD
SB21B,C00489336,SB21B.I17070,SB21B.I17068,SB21B,ORG,CHARLIE PALMER STEAKHOUSE,,,,,,101 CONSTITUTION AVE NW,,WASHINGTON,DC,20001,,,2023-01-23,2533.41,,EVENT FOOD  AND BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I17075,SB21B.I17068,SB21B,ORG,CHARLIE PALMER STEAKHOUSE,,,,,,101 CONSTITUTION AVE NW,,WASHINGTON,DC,20001,,,2023-01-23,1441.01,,EVENT FOOD AND BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I17072,SB21B.I17068,SB21B,ORG,MATCHBOX,,,,,,713 H ST. NW,,WASHINGTON,DC,20001,,,2023-01-23,283.80,,FOOD AND BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I17069,SB21B.I17068,SB21B,ORG,SAFEWAY,,,,,,415 14TH STREET SE,,WASHINGTON,DC,02003,,,2023-01-23,331.29,,EVENT SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I17071,SB21B.I17068,SB21B,ORG,US SENATE CAFE,,,,,,DIRKSEN OFFICE BLDG,,WASHINGTON,DC,20210,,,2023-01-23,28.85,,FOOD AND BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I17073,SB21B.I17068,SB21B,ORG,US SENATE CAFE,,,,,,DIRKSEN OFFICE BLDG,,WASHINGTON,DC,20210,,,2023-01-23,249.40,,FOOD AND BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
