form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00214981,11800948,,,CCM,Valadao For Congress,,,,,,5132 North Palm Avenue,#227,Fresno,CA,93704,P2024,,2024-02-07,1000.00,0.00,Campaign Contribution,011,C00499392,Valadao For Congress,H2CA20094,Valadao,David,,,,H,CA,22,,,,,,,,Campaign Contribution
SB23,C00214981,11800949,,,CCM,Texans For Ronny Jackson,,,,,,PO Box 53058,,Amarillo,TX,79159,G2024,,2024-02-07,4800.00,0.00,Campaign Contribution,011,C00730531,Texans For Ronny Jackson,H0TX13228,Jackson,Ronny,,,,H,TX,13,,,,,,,,Campaign Contribution
SB23,C00214981,11800950,,,CCM,Jasmine For US,,,,,,PO Box 227235,,Dallas,TX,75222,G2024,,2024-02-07,4800.00,0.00,,011,C00795450,Jasmine For US,H2TX30178,Crockett,Jasmine,,,,H,TX,30,,,,,,,,
SB23,C00214981,11800951,,,CCM,Veronica Escobar For Congress,,,,,,PO Box 3961,,El Paso,TX,79923,P2024,,2024-02-07,4800.00,0.00,Campaign Contribution,011,C00653923,Veronica Escobar For Congress,H8TX16109,Escobar,Veronica,,,,H,TX,16,,,,,,,,Campaign Contribution
SB23,C00214981,11805610,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.74,0.00,In Kind ontribution PAC Website,011,C00492785,Ted Cruz For Senate,S2TX00312,Cruz,Ted,,,,S,TX,,,,,,,,,In Kind ontribution PAC Website
SB23,C00214981,11805622,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00796086,Nathaniel Moran For Congress,H2TX01112,Moran,Nathaniel,,,,H,TX,01,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805623,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00660795,Dan Crenshaw For Congress,H8TX02166,Crenshaw,Dan,,,,H,TX,02,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805624,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00791293,Self For Congress,H2TX03290,Self,Keith,,,,H,TX,03,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805625,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,,Pat Fallon for Congress,,Fallon,Pat,,,,H,TX,04,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805626,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,,Lance Gooden for Congress,,Gooden,Lance,,,,H,TX,05,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805627,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,,Jake Ellzey for Congress,,Ellzey,Jake,,,,H,TX,06,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805628,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,,Elizabeth Pannill Fletcher for Congress,,Fletcher,Lizzie,,,,H,TX,07,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805629,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00781112,Texans For Morgan Luttrell,H2TX08182,Luttrell,Morgan,,,,H,TX,08,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805630,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00392688,"McCaul For Congress, Inc",H4TX10093,McCaul,Michael,,,,H,TX,10,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805631,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00719294,August Pfluger For Congress,H0TX11230,Pfluger,August,,,II,H,TX,11,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805632,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00855528,Craig Goldman For Congress,H4TX12065,Goldman,Craig,,,,H,TX,12,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805633,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00730531,Texans For Ronny Jackson,H0TX13228,Jackson,Ronny,,,,H,TX,13,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805634,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00502229,Weber For Congress,H2TX14149,Weber,Randy,,,,H,TX,14,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805635,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00765719,Monica For Congress,H0TX15124,De La Cruz,Monica,,,,H,TX,15,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805636,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00653923,Veronica Escobar For Congress,H8TX16109,Escobar,Veronica,,,,H,TX,16,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805637,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00303305,Pete Sessions For Congress,H2TX03126,Sessions,Pete,,,,H,TX,17,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805638,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,,Texans for Jodey Arrington,,Arrington,Jodey,,,,H,TX,19,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805639,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00730150,Nehls For Congress,H0TX22302,Nehls,Troy,,,,H,TX,22,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805640,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00706614,Tony Gonzales For Congress,H0TX35015,Gonzales,Tony,,,II,H,TX,23,,,,,,,,In Kind Contribution PAC Website
SB23,C00214981,11805641,,,ORG,TEXAS FARM BUREAU,,,,,,P. O. BOX 2689,,WACO,TX,767022689,P2024,,2024-02-13,5.75,0.00,In Kind Contribution PAC Website,011,C00714865,Beth Van Duyne For Congress,H0TX24209,Van Duyne,Beth,,,,H,TX,24,,,,,,,,In Kind Contribution PAC Website
