form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00612820,B-665,,,ORG,Amalgamated Bank,,,,,,275 7th Avenue,,New York,NY,10001,,,2024-10-29,266.50,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-758,,,ORG,"CommonCentsConsulting, LLC",,,,,,PO Box 26430,,Tempe,AZ,85285,G2024,,2024-11-20,275.00,,Compliance & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-759,,,ORG,"CommonCentsConsulting, LLC",,,,,,PO Box 26430,,Tempe,AZ,85285,G2024,,2024-11-20,275.00,,Compliance & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-760,,,ORG,"CommonCentsConsulting, LLC",,,,,,PO Box 26430,,Tempe,AZ,85285,G2024,,2024-11-20,2250.00,,Compliance & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-715,,,ORG,Divvy,,,,,,6220 America Center Drive,STE 100,San Jose,CA,95002,G2024,,2024-11-01,286.55,,Credit Card Payment - See Memos if Itemized.,002,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-749,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-11-05,2000.00,,Compliance & Reporting Software Subscription,001,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-728,,,ORG,Menjos Entertainment Complex,,,,,,950 West McNichols Road,,Detroit,MI,48203,G2024,,2024-11-04,300.00,,IN KIND: In-kind Event Venue,,,,,,,,,,,,,,,,,,,,
SB21B,C00612820,B-365,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,61510.16,Texting Services,004,,Mannion for New York,H4NY22085,Mannion,John,W,,,H,NY,22,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-366,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,750.00,Texting Services,004,,Kaptur for Congress,H2OH09031,Kaptur,Marcy,,HON.,,H,OH,09,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-367,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,61510.16,Texting Services,004,,Adam Gray for Congress,H2CA13115,Gray,Adam,C.,,,H,CA,13,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-368,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,750.00,Texting Services,004,,George Whitesides for Congress,H4CA27111,Whitesides,George,,,,H,CA,27,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-369,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,888.04,Texting Services,004,,Gabe Vasquez for Congress,H2NM02191,Vasquez,Gabriel,,,,H,NM,02,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-370,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,51372.13,Texting Services,004,,Landsman for Congress,H2OH01194,Landsman,Greg,,,,H,OH,01,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-371,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,750.00,Texting Services,004,,Emilia Sykes for Congress,H2OH13264,Sykes,Emilia,,,,H,OH,13,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-372,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,51372.13,Texting Services,004,,Susan Wild for Congress,H8PA15229,Wild,Susan,,,,H,PA,07,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-373,,,ORG,"Impactive Solutions, Inc.",,,,,,PO Box 66099,,Los Angeles,CA,90056,G2024,,2024-10-16,-750.00,750.00,Texting Services,004,,Chris Deluzio for Congress,H2PA17103,Deluzio,Christopher,,,,H,PA,17,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-360,,,ORG,Stones' Phones,,,,,,41-750 Rancho Las Palmas Drive,STE E-3,Rancho Mirage,CA,92270,G2024,,2024-10-16,-220000.00,1379160.82,Live Persuasion Calls,004,,,P80000722,Harris,Kamala,D.,,,P,,00,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-361,,,ORG,Stones' Phones,,,,,,41-750 Rancho Las Palmas Drive,STE E-3,Rancho Mirage,CA,92270,G2024,,2024-10-16,-40000.00,58000.41,Live Persuasion Calls,004,,Fund for Equality,S2WI00219,Baldwin,Tammy,,,,S,WI,00,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
SB21B,C00612820,B-363,,,ORG,"Wildfire Mail Co., LLC (Agency)",,,,,,Agency,600 East Court Avenue,Des Moines,IA,50309,G2024,,2024-10-16,-56980.54,1528035.90,Direct Mail & Postage,004,,,P80000722,Harris,Kamala,D.,,,P,,00,,,,,,,,Void of Expense Paid before IE Dissemination-See Sch E
