form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00544387,SB21B.8882,,,ORG,Amy N Haab dba Amy's Bookkeeping Edge LLC,,,,,,3277 Beneva Rd,Unit 102,Sarasota,FL,34232,,,2024-11-04,175.00,,Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8893,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-17,20.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8894,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-17,4.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8870,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-19,4.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8871,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-19,2.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8867,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-20,40.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8868,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-20,2.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8869,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-20,20.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8864,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-21,1.10,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8865,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-21,1.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8866,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-21,1.00,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
