form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00568162,4321,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-10-21,1065.00,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4301,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE,7TH FLR,DALLAS,TX,75201,,,2024-10-31,365.45,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4325,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-11-01,847.10,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4303,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE,7TH FLR,DALLAS,TX,75201,,,2024-11-05,218.10,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4308,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD #400,,MCLEAN,VA,22182,,,2024-11-05,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4309,,,ORG,CORCORAN STRATEGIES,,,,,,200 CIRCLE AVENUE,,CHARLOTTE,NC,28207,,,2024-11-08,32288.96,,FUNDRAISING CONSULTING / EVENT PLANNING / TRAVEL / CATERING / FOOD/BEVERAGE / FACILITY RENTAL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4313,,,ORG,DRUCKER LAWHON,,,,,,530 10TH ST NE,,WASHINGTON,DC,20002,,,2024-11-08,59920.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4314,,,ORG,DRUCKER LAWHON,,,,,,530 10TH ST NE,,WASHINGTON,DC,20002,,,2024-11-08,50576.12,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4316,,,ORG,LILLY & COMPANY,,,,,,1005 CONGRESS AVENUE SUITE 400,,AUSTIN,TX,78701,,,2024-11-08,16380.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4317,,,ORG,"LIQUID CONSULTING, LLC",,,,,,"3941 PARK DRIVE, SUITE 20-343",,EL DORADO HILLS,CA,95762,,,2024-11-08,20660.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4319,,,ORG,"SKY VIEW CAPITAL, LLC",,,,,,3447 25TH CT S,,ARLINGTON,VA,22206,,,2024-11-08,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4320,,,ORG,STRATEGIC ADVANCE SERVICES,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2024-11-08,150929.66,,TRAVEL / FACILITY RENTAL / CATERING / FOOD/BEVERAGE / OFFICE SUPPLIES / TRAVEL CONSULTING SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4305,,,ORG,"BRIARWOOD STRATEGIES, LLC",,,,,,1925 14TH ST NW #901,,WASHINGTON,DC,20009,,,2024-11-11,2830.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4327,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-11-18,314.40,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4307,,,ORG,"CAMPAIGN CONSULTING GROUP, LLC",,,,,,PO BOX 250336,,ATLANTA,GA,30325,,,2024-11-19,2629.56,,FOOD / BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4310,,,ORG,"CROSBY OTTENHOFF GROUP, LLC",,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2024-11-19,5085.38,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4311,,,IND,,BOMAR,DELANIE,,,,1200 N HERNDON ST,#408,ARLINGTON,VA,22201,,,2024-11-20,369.26,,TRAVEL / FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,4312,4311,SB21B,ORG,ENTERPRISE,,,,,,2500 SOUTH BICENTENNIAL,,MCALLEN,TX,78503,,,2024-11-20,255.35,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
