form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00838177,EB177,,,ORG,Fortis Accounting Solutions LLC,,,,,,3600 136th PL STE 270,,Bellevue,WA,98006,,,2024-04-02,127.50,,Accounting & compliance services,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB179,,,ORG,WEpac LLC,,,,,,454 Las Gallinas Avenue #282,,San Rafael,CA,94903,,,2024-04-08,57.80,,Accounting & compliance services,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB244,,,ORG,Clean Energy for America Inc,,,,,,3600 136th Place SE #720,,Bellevue,WA,98006,,,2024-04-16,591.06,,Salary and payroll processing,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB242,,,ORG,Clean Energy for America Inc,,,,,,3600 136th Place SE #720,,Bellevue,WA,98006,,,2024-04-16,1.55,,Salary and payroll processing,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB246,,,ORG,Sandler Reiff Lamb et al PC,,,,,,1090 Vermont Ave NW,,Washington,DC,20005,,,2024-04-16,375.00,,Legal fees,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB248,,,ORG,Fortis Accounting Solutions LLC,,,,,,3600 136th PL STE 270,,Bellevue,WA,98006,,,2024-05-03,828.75,,Accounting & compliance services,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB259,,,ORG,Seven Letter,,,,,,1140 Connecticut Ave,NW STE 800,Washington,DC,20036,,,2024-06-03,27500.00,,General Communications and Rapid Response Support,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,BB1EB259,EB259,SB29,ORG,Blue Engine Message & Media,,,,,,1140 Connecticut Ave,NW STE 800,Washington,DC,20036,,,2024-06-03,27500.00,,Consulting contract paid through Seven Letter,,,,,,,,,,,,,Seven Letter,1140 Connecticut Ave,NW STE 800,Washington,DC,20036,X,
SB29,C00838177,EB252,,,ORG,Fortis Accounting Solutions LLC,,,,,,3600 136th PL STE 270,,Bellevue,WA,98006,,,2024-06-06,191.25,,Accounting & compliance services,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB250,,,ORG,WEpac LLC,,,,,,454 Las Gallinas Avenue #282,,San Rafael,CA,94903,,,2024-06-06,712.50,,Accounting & compliance services,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB254,,,ORG,Sandler Reiff Lamb et al PC,,,,,,1090 Vermont Ave NW,,Washington,DC,20005,,,2024-06-10,625.00,,Legal fees,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB261,,,ORG,Transit Pictures LLC,,,,,,12987 Arroyo St,,San Fernando,CA,91340,,,2024-06-12,15000.00,,Production - Political Content Payment,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB321,,,ORG,Clean Energy for America Inc,,,,,,3600 136th Place SE #720,,Bellevue,WA,98006,,,2024-06-24,266.25,,Salary and payroll processing,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB323,,,ORG,Clean Energy for America Inc,,,,,,3600 136th Place SE #720,,Bellevue,WA,98006,,,2024-06-24,635.35,,Salary and payroll processing,,,,,,,,,,,,,,,,,,,,
SB29,C00838177,EB319,,,ORG,Clean Energy for America Inc,,,,,,3600 136th Place SE #720,,Bellevue,WA,98006,,,2024-06-24,762.61,,Event Expenses,,,,,,,,,,,,,,,,,,,,
