form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00225342,SB29.7669,,,CCM,Croke for Illnois,,,,,,1701 N North Park Ave #2,,Chicago,IL,606145757,,,2023-02-13,1000.00,,Non-federal contribution; IL House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7674,,,CCM,Democrats for the Illinois House,,,,,,1005 W. Roosevelt Road,Suite A,Westchester,IL,60154,,,2023-02-13,400.00,,Non-federal contribution; IL House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7680,,,CCM,Ervin for Committeeman,,,,,,2622 W. Jackson Blvd,Suite 200C,Chicago,IL,60612,,,2023-02-13,1000.00,,Non-federal contribution; Chicago Alderman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7665,,,CCM,Friends for Eva Dina Delgado,,,,,,2441 N St. Louis Avenue,,Chicago,IL,60647,,,2023-02-06,250.00,,Non-federal contribution; IL House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7663,,,CCM,Friends of Lakesia,,,,,,P.O. Box 10072,,Chicago,IL,60610,,,2023-02-06,1000.00,,Non-federal contribution; Chicago Alderwoman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7668,,,CCM,Friends of LaPointe,,,,,,P.O. Box 30161,,Chicago,IL,60630,,,2023-02-13,1000.00,,Non-federal Contribution; IL House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7678,,,CCM,Friends of Nicole Lee,,,,,,329 W 29th Place,Apt. 3,Chicago,IL,60616,,,2023-02-13,500.00,,Non-federal contribution; Chicago Alderperson,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7664,,,CCM,Friends of Samantha Nugent,,,,,,6121 N. Forest Glen Avenue,,Chicago,IL,60646,,,2023-02-06,1500.00,,Non-federal contribution; IL Alderwoman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7676,,,CCM,Friends of Stephanie Coleman,,,,,,P.O. Box 21088,,Chicago,IL,60621,,,2023-02-13,250.00,,Non-federal contribution; Chicago Alderperson,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7673,,,CCM,Friends of Tabares,,,,,,5300 S. Normandy Ave,,Chicago,IL,60638,,,2023-02-13,1000.00,,Non-federal contribution; Chicago Alderperson,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7670,,,CCM,Lamont Robinson for Alderman,,,,,,5050 S. Indiana Avenue,,Chicago,IL,60615,,,2023-02-13,500.00,,Non-federal contribution; Chicago Alderman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7672,,,CCM,Neighbors for Andre,,,,,,6115 N Ravenswood,,Chicago,IL,60660,,,2023-02-13,500.00,,Non-federal contribution; Chicago Alderman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7666,,,CCM,New Day Bill Conway,,,,,,333 N. Canal Street,Apt. 3604,Chicago,IL,60606,,,2023-02-06,1000.00,,Non-federal contribution; Chicago Alderman,,,,,,,,,,,,,,,,,,,,
