form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00890335,SB21B.4209,,,ORG,"CASCADE STRATEGIES, LLC",,,,,,5765-F BURKE CENTER PKWY,#208,BURKE,VA,22015,,,2024-11-04,15000.00,,RESEARCH CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4202,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-23,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4203,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4204,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-11-04,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4205,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-11-04,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4210,,,ORG,DESIGNATED MARKET MEDIA,,,,,,8588 RICHMOND HWY,STE 90546,ALEXANDRIA,VA,22309,,,2024-10-17,-5000.00,,"PRODUCTION COST: TV AD (IE PAID 10/16/24, SEE SCHEDULE E)",,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4211,,,ORG,FLEXPOINT MEDIA INC,,,,,,PO BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-21,-829000.00,,"PLACED MEDIA: TV (IE PAID 10/15/24, SEE SCHEDULE E)",,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4214,,,ORG,FLEXPOINT MEDIA INC,,,,,,PO BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-21,-579000.00,,"PLACED MEDIA: TV (IE PAID 10/15/24, SEE SCHEDULE E)",,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4212,,,ORG,FLEXPOINT MEDIA INC,,,,,,PO BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-23,-499000.00,,"PLACED MEDIA: TV (IE PAID 10/15/24, SEE SCHEDULE E)",,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4207,,,ORG,HOLTZMAN VOGEL,,,,,,2300 N STREET NW,STE 643,WASHINGTON,DC,20037,,,2024-11-04,8083.75,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00890335,SB21B.4215,,,ORG,NEBO MEDIA INC,,,,,,PO BOX 3033,,ARLINGTON,VA,22203,,,2024-10-17,-278932.50,,"PLACED MEDIA: TV (IE PAID 10/10/24, SEE SCHEDULE E)",,,,,,,,,,,,,,,,,,,,
