form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00873174,SB21B.4200,,,ORG,ASCENT MEDIA LLC,,,,,,1001 CONNECTICUT AVE NW,STE 206,WASHINGTON,DC,20036,,,2024-07-02,20150.00,,WEBSITE MEDIA PRODUCTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4199,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4202,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-10,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4205,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-16,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4207,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-22,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4209,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-23,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4211,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-25,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4213,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-29,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4215,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4219,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-08-01,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4233,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-09-20,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4220,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,SUITE 900,WASHINGTON,DC,20006,,,2024-08-06,38353.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4204,,,ORG,INUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2024-07-15,90.61,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4223,,,ORG,INUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2024-08-14,90.61,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4232,,,ORG,INUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2024-09-16,90.61,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4221,,,ORG,P2 PATHWAY PUBLIC AFFAIRS,,,,,,1401 H ST NW,STE 550,WASHINGTON,DC,20005,,,2024-08-06,20000.00,,POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4238,,,ORG,P2 PATHWAY PUBLIC AFFAIRS,,,,,,1401 H ST NW,STE 550,WASHINGTON,DC,20005,,,2024-08-06,30000.00,,POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4224,,,ORG,P2 PATHWAY PUBLIC AFFAIRS,,,,,,1401 H ST NW,STE 550,WASHINGTON,DC,20005,,,2024-08-19,30000.00,,POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4231,,,ORG,P2 PATHWAY PUBLIC AFFAIRS,,,,,,1401 H ST NW,STE 550,WASHINGTON,DC,20005,,,2024-09-16,20000.00,,POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4201,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2024-07-08,877.50,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4222,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2024-08-12,2332.50,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00873174,SB21B.4230,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2024-09-16,1147.50,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
