form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00835496,SB29.11,,,ORG,LAURENS GROUP,,,,,,342 EAST BAY STREET,,CHARLESTON,SC,29401,,,2023-03-31,500.00,,NON CONTRIBUTION ACCOUNT: WEB SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.12,,,ORG,RAMPART STRATEGIES,,,,,,3327 GRASS HILL TERRACE,,FALLS CHURCH,VA,22044,,,2023-04-07,106313.81,,NON CONTRIBUTION ACCOUNT: NON FEDERAL PRINTING / POSTAGE / CREATIVE DESIGN SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.8,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-04-13,3290.00,,NON CONTRIBUTION ACCOUNT: COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.19,,,ORG,TORCHLIGHT ENTERPRISES,,,,,,1723 CHESTERFORD WAY,,MCLEAN,VA,22101,,,2023-04-14,9719.78,,NON CONTRIBUTION ACCOUNT: NON FEDERAL DATA PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.1,,,ORG,CAPLIN AND DRYSDALE,,,,,,ONE THOMAS CIRCLE NW,SUITE 1100,WASHINGTON,DC,20005,,,2023-04-17,5960.00,,NON CONTRIBUTION ACCOUNT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.13,,,ORG,RAMPART STRATEGIES,,,,,,3327 GRASS HILL TERRACE,,FALLS CHURCH,VA,22044,,,2023-04-17,82329.46,,NON CONTRIBUTION ACCOUNT: NON FEDERAL PRINTING / POSTAGE / CREATIVE DESIGN SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.17,,,ORG,THE LAWRENCE GROUP LLC,,,,,,617 MAPLEWOOD DR,,MINOOKA,IL,60447,,,2023-05-01,5000.00,,NON CONTRIBUTION ACCOUNT: POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.14,,,ORG,RAMPART STRATEGIES,,,,,,3327 GRASS HILL TERRACE,,FALLS CHURCH,VA,22044,,,2023-05-02,95088.96,,NON CONTRIBUTION ACCOUNT: NON FEDERAL PRINTING / POSTAGE / CREATIVE DESIGN SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.9,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-05-17,5532.49,,NON CONTRIBUTION ACCOUNT: COMPLIANCE CONSULTING / POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.16,,,ORG,THE HUMBLE GROUP,,,,,,8271 AVIARY ST,,NORTH FORT MYERS,FL,33917,,,2023-05-17,10983.26,,NON CONTRIBUTION ACCOUNT: NON FEDERAL SMS MESSAGING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00835496,SB29.18,,,ORG,THE LAWRENCE GROUP LLC,,,,,,617 MAPLEWOOD DR,,MINOOKA,IL,60447,,,2023-05-17,150.00,,NON CONTRIBUTION ACCOUNT: NON FEDERAL CREATIVE DESIGN SERVICES,,,,,,,,,,,,,  ,,,,,,,
