form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00786830,500073290,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-08-18,0.79,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073567,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,,,2024-08-29,110.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073516,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2024-08-09,334.57,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073522,500073516,SB29,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-08-09,92.33,0.00,Subscription,,,,,,,,,,,,,,,,,,,X,* Non-Contribution Account
SB29,C00786830,500073521,500073516,SB29,ORG,"Squarespace, Inc.",,,,,,225 Varick St,Fl 12,New York,NY,100144383,,,2024-08-09,24.38,0.00,Website Hosting,,,,,,,,,,,,,,,,,,,X,* Non-Contribution Account
SB29,C00786830,500073565,,,ORG,"CityBright, LLC",,,,,,3028 Trailside Dr,Apt 422,Indian Land,SC,297079262,,,2024-08-28,1029.82,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073560,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2024-08-21,1755.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073561,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2024-08-26,1521.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073563,,,ORG,Fast Lizard LLC,,,,,,455 Riverside Ave,,Mancos,CO,813287942,,,2024-08-27,5555.00,0.00,Strategic Consulting Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,7906183I,7906183,SA17,PAC,HMP,,,,,,1032 15th St NW,Ste 247,Washington,DC,200051502,,,2024-08-12,75000.00,0.00,Polling Data,,C00495028,,,,,,,,,,,,,,,,,,* Non-Contribution Account; In-Kind Received
SB29,C00786830,500073569,,,ORG,Ikon Global Consulting Inc,,,,,,117 Quarry St,Apt 3,Philadelphia,PA,191062047,,,2024-08-30,6500.00,0.00,Strategic Consulting Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073512,,,ORG,"MLV Strategies, LLC",,,,,,433 Broadway,Ste 416,New York,NY,100132510,,,2024-08-01,20000.00,0.00,Strategic Consulting Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073559,,,ORG,Thematic Campaigns,,,,,,111 W Illinois St,Fl 5,Chicago,IL,606544505,,,2024-08-19,15000.00,0.00,Strategic Consulting Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00786830,500073568,,,ORG,Vox Populi Partners,,,,,,25 Plymouth Rd,,Needham,MA,024923714,,,2024-08-29,334.61,0.00,Travel & Event Supplies,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
