form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00441949,501450700,,,ORG,Doyle Printing & Offset Co. Inc.,,,,,,6911 Old Landover Rd,,Landover,MD,207851503,,,2024-12-20,2293.54,0.00,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450697,,,ORG,J Street,,,,,,PO Box 66073,,Washington,DC,200356073,,,2024-12-11,11880.00,0.00,Reimb. - Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450698,,,ORG,J Street,,,,,,PO Box 66073,,Washington,DC,200356073,,,2024-12-17,19163.40,0.00,Reimb. - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450705,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-11-26,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450706,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-11-27,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450707,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-11-28,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450721,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-01,12.00,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450708,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-02,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450709,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-03,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450710,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-04,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450711,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-06,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450712,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-10,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450713,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-13,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450714,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-15,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450715,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-17,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450716,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-19,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450717,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-20,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450718,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-24,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450719,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-30,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501450720,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-31,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501472973,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-12-31,225.35,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
