form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00820167,EB156,,,COM,Andrea Salinas for Oregon,,,,,,PO Box 230985,,Tigard,OR,97281,P2024,,2024-04-15,1000.00,,,011,C00793703,Andrea Salinas for Oregon,,Salinas,Andrea,,,,H,OR,06,,,,,,,,
SB23,C00820167,EB162,,,COM,Cisneros For Congress,,,,,,PO Box 2502,,Covina,CA,91722,G2024,,2024-04-15,1000.00,,,011,C00850420,Cisneros For Congress,,Cisneros,Gilbert,,,,H,CA,31,,,,,,,,
SB23,C00820167,EB155,,,COM,Don Davis for NC,,,,,,PO Box 511,,Snow Hill,NC,28580,G2024,,2024-04-15,1000.00,,,011,C00795211,Don Davis for NC,,Davis,Don,,,,H,NC,01,,,,,,,,
SB23,C00820167,EB158,,,COM,Equality PAC,,,,,,PO Box 15337,,Washington,DC,20003,,,2024-04-15,2500.00,,,011,C00550970,Equality PAC,,,,,,,,,,,,,,,,,
SB23,C00820167,EB163,,,COM,Guthrie for Congress,,,,,,PO Box 22401,,Louisville,KY,40252,P2024,,2024-04-15,1500.00,,,011,C00445023,Guthrie for Congress,,Guthrie,S. Brett,,,,H,KY,02,,,,,,,,
SB23,C00820167,EB157,,,COM,Mikie Sherrill for Congress,,,,,,PO Box 43032,,Montclair,NJ,07043,P2024,,2024-04-15,1000.00,,,011,C00640003,Mikie Sherrill for Congress,,Sherrill,Mikie,,,,H,NJ,11,,,,,,,,
SB23,C00820167,EB159,,,COM,Nikki for Congress,,,,,,PO Box 5171,,Springfield,IL,62705,G2024,,2024-04-15,1000.00,,,011,C00787812,Nikki for Congress,,Budzinski,Nikki,,,,H,IL,13,,,,,,,,
SB23,C00820167,EB161,,,COM,NY Republican Federal Campaign Committee,,,,,,315 State Street,,Albany,NY,12210,,,2024-04-15,1000.00,,,011,C00055582,NY Republican Federal Campaign Committee,,,,,,,,,,,,,,,,,
SB23,C00820167,EB160,,,COM,Texans for Henry Cuellar Congressional Campaign,,,,,,P.O. Box 6147,,Laredo,TX,78042,G2024,,2024-04-15,1000.00,,,011,C00371302,Texans for Henry Cuellar Congressional Campaign,,Cuellar,Henry,,,,H,TX,28,,,,,,,,
SB23,C00820167,EB164,,,COM,Cisneros For Congress,,,,,,PO Box 2502,,Covina,CA,91722,G2024,,2024-04-26,1000.00,,,011,C00850420,Cisneros For Congress,,Cisneros,Gilbert,,,,H,CA,31,,,,,,,,
SB23,C00820167,EB167,,,COM,Committee to Re-Elect Henry Hank Johnson,,,,,,4153 Flat Shoals Parkway,"Suite 322, Building C, 2nd Floor",Decatur,GA,30034,P2024,,2024-04-26,1500.00,,,011,C00418293,Committee to Re-Elect Henry Hank Johnson,,Johnson,Henry C. 'Hank',,,,H,GA,04,,,,,,,,
SB23,C00820167,EB165,,,COM,Guthrie for Congress,,,,,,PO Box 22401,,Louisville,KY,40252,P2024,,2024-04-26,1500.00,,,011,C00445023,Guthrie for Congress,,Guthrie,S. Brett,,,,H,KY,02,,,,,,,,
SB23,C00820167,EB166,,,COM,Kennedy for Congress,,,,,,PO Box 536,,Buffalo,NY,14201,O2024,Special General,2024-04-26,1000.00,,,011,C00856526,Kennedy for Congress,,Kennedy,Timothy,,,,H,NY,26,,,,,,,,
