form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00883520,SB21B.I21805,,,ORG,BLANCO & CO.,,,,,,42 MOUNT VERNON AVE,,ALEXANDRIA,VA,22301,,,2024-10-24,19910.66,,STRATEGIC CONSULTING / TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21806,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-17,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21807,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-18,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21808,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-21,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21809,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-23,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21810,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-24,50.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21811,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-25,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21812,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-28,75.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21813,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-29,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21814,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-30,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21815,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-04,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21816,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-05,50.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21817,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-06,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21818,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 A - LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-14,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21819,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE,STE 267,WASHINGTON,DC,20003,,,2024-10-24,8331.67,,COMPLIANCE CONSULTING / POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21820,,,ORG,GRIGSBY APPLEGATE LLC,,,,,,5124 PEACH WILLOW LANE,,FORT WORTH,TX,76109,,,2024-11-14,31109.85,,FOOD / BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21821,,,ORG,PATRIOT GRASSROOTS,,,,,,1021 EAST LINCOLNWAY #503,,CHEYENNE,WY,82001,,,2024-10-17,3086550.00,,CANVASSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21822,,,ORG,PATRIOT GRASSROOTS,,,,,,1021 EAST LINCOLNWAY #503,,CHEYENNE,WY,82001,,,2024-10-22,4719600.00,,CANVASSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21823,,,ORG,PATRIOT GRASSROOTS,,,,,,1021 EAST LINCOLNWAY #503,,CHEYENNE,WY,82001,,,2024-10-25,2940250.00,,CANVASSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21824,,,ORG,PATRIOT GRASSROOTS,,,,,,1021 EAST LINCOLNWAY #503,,CHEYENNE,WY,82001,,,2024-10-24,920550.00,,CANVASSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21825,,,ORG,PATRIOT GRASSROOTS,,,,,,1021 EAST LINCOLNWAY #503,,CHEYENNE,WY,82001,,,2024-10-28,1715025.50,,CANVASSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21826,,,ORG,PRIMO COMMUNICATIONS SERVICES LLC,,,,,,100 N ADDISON AVE,,ELMHURST,IL,60126,,,2024-10-30,495550.00,,MEDIA PLACEMENT / MEDIA PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00883520,SB21B.I21827,,,ORG,PRIMO COMMUNICATIONS SERVICES LLC,,,,,,100 N ADDISON AVE,,ELMHURST,IL,60126,,,2024-11-06,150000.00,,MEDIA PLACEMENT / MEDIA PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
