form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00503151,SB21B.7402,,,ORG,American Express,,,,,,PO Box 360001,,Ft. Lauderdale,FL,333360001,,,2024-12-05,11888.14,,Credit Card Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00503151,SB21B.7402.0,SB21B.7402,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-10-14,254.25,,Office Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.1,SB21B.7402,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-10-16,47.28,,Office Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.3,SB21B.7402,SB21B,ORG,Capitol Hill Club,,,,,,300 1st Street SE,,Washington,DC,20003,,,2024-10-16,207.55,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.4,SB21B.7402,SB21B,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,Ste 102,Fort Worthq,TX,76155,,,2024-10-16,51.98,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.6,SB21B.7402,SB21B,ORG,Uber,,,,,,1455 Market St,Suite 400,San Francisco,CA,94103,,,2024-10-16,159.43,,Transportation Svc,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.7,SB21B.7402,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-10-17,95.25,,Office Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.9,SB21B.7402,SB21B,ORG,Residence Inn,,,,,,1033 Ave of the Americas,,New York,NY,10018,,,2024-10-17,397.94,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.10,SB21B.7402,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-10-18,73.11,,Office Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.11,SB21B.7402,SB21B,ORG,UPS,,,,,,"55 Glenlake Pkwy NE, Ste 1",,Atlanta,GA,30328,,,2024-10-20,690.18,,Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.12,SB21B.7402,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-10-21,133.49,,Office Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.13,SB21B.7402,SB21B,ORG,Devonian Coast,,,,,,2272 West Houghton Lk Rd,,Lake City,MI,49651,,,2024-10-24,5076.00,,Event Supplies-Gifts,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.14,SB21B.7402,SB21B,ORG,UPS,,,,,,"55 Glenlake Pkwy NE, Ste 1",,Atlanta,GA,30328,,,2024-10-27,1458.84,,Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.16,SB21B.7402,SB21B,ORG,UPS,,,,,,"55 Glenlake Pkwy NE, Ste 1",,Atlanta,GA,30328,,,2024-10-30,43.50,,Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.17,SB21B.7402,SB21B,ORG,UPS,,,,,,"55 Glenlake Pkwy NE, Ste 1",,Atlanta,GA,30328,,,2024-11-02,331.99,,Shipping,,C00503151,UPPER HAND FUND,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.18,SB21B.7402,SB21B,ORG,UPS,,,,,,"55 Glenlake Pkwy NE, Ste 1",,Atlanta,GA,30328,,,2024-11-03,1908.17,,Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.19,SB21B.7402,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-11-08,25.78,,Office Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7402.21,SB21B.7402,SB21B,ORG,UPS,,,,,,"55 Glenlake Pkwy NE, Ste 1",,Atlanta,GA,30328,,,2024-11-10,35.78,,Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7405,,,ORG,American Express,,,,,,PO Box 360001,,Ft. Lauderdale,FL,333360001,,,2024-12-24,443.73,,Credit Card Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00503151,SB21B.7405.0,SB21B.7405,SB21B,ORG,Capitol Hill Club,,,,,,300 1st Street SE,,Washington,DC,20003,,,2024-11-15,332.64,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00503151,SB21B.7407,,,ORG,The Elevated Group,,,,,,PO Box 4333,,Catersville,GA,30120,,,2024-12-30,1035.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00503151,SB21B.7399,,,IND,,Whiteman,Todd,,,,1161 Alden Ct,,Holland,MI,49423,,,2024-12-02,500.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
