form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00692137,500438648,,,ORG,Blue Wave Political Partners,,,,,,119 1St Ave S,Ste 320,Seattle,WA,981043424,,,2024-11-26,4500.00,0.00,Noncontribution Account - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438661,,,ORG,GoodMatch Inc,,,,,,101 Colorado St,Apt 1606,Austin,TX,787014117,,,2024-11-29,588.27,0.00,Noncontribution Account - Subscription,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438657,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-11-29,68.90,0.00,Noncontribution Account - Subscription,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438658,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-12-30,68.90,0.00,Noncontribution Account - Subscription,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438637,,,ORG,Tall Poppy LLC,,,,,,3026 Wicklow Rd,,Columbus,OH,432042554,,,2024-11-27,2550.00,0.00,Noncontribution Account - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438638,,,ORG,Tall Poppy LLC,,,,,,3026 Wicklow Rd,,Columbus,OH,432042554,,,2024-12-12,2550.00,0.00,Noncontribution Account - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438654,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-11-27,150.00,0.00,Noncontribution Account - Staff Salary Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438653,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-12-02,2233.30,0.00,Noncontribution Account - Staff Salary Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438655,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-12-09,1200.00,0.00,Noncontribution Account - Staff Salary Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438652,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-12-10,526.25,0.00,Noncontribution Account - Accounting Services Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500438656,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-12-12,9870.64,0.00,Noncontribution Account - Staff Salary Allocation,,,,,,,,,,,,,,,,,,,,
