form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500027304,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-08-16,5279.23,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027298,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-08-09,696.98,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027432,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-01,9.16,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027433,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-02,61.51,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027434,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-03,25.06,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027435,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-04,11.08,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027436,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-07,23.15,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027437,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-08,6.72,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027438,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-09,3.83,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027439,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-10,6.68,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027440,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-11,4.32,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027441,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-08-14,139.68,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
