form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770362,500967710,,,ORG,The Action Network,,,,,,12180 Millennium,Ste 500,Playa Vista,CA,900942948,,,2024-11-04,1416.47,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967310,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-10-27,43.04,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500968060,,,ORG,Pantograph Labs,,,,,,2121 Broadway,Unit 188035,Sacramento,CA,958185001,,,2024-11-05,567.00,0.00,Consulting/Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500969502,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-25,1.12,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967752,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-03,29.00,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967603,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-10-31,19.69,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500968143,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-10,1.40,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500969314,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-24,15.60,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500969005,,,ORG,"Blue Wave Political Partners, LLC",,,,,,401 2Nd Ave S,Ste 303,Seattle,WA,981042862,,,2024-11-20,750.00,0.00,Consulting/Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967576,,,ORG,"Blue Wave Political Partners, LLC",,,,,,401 2Nd Ave S,Ste 303,Seattle,WA,981042862,,,2024-10-31,500.00,0.00,Consulting/Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967996,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-05,4.27,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500968696,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-17,6.32,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967577,,,ORG,"The Strategy Division, LLC",,,,,,PO Box 3114,,Eldorado Springs,CO,800253114,,,2024-11-01,25000.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500963138,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-10-20,14.71,0.00,Merchant Fees,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00770362,500967359,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-29,95.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
