form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00798009,SB21B.4407,,,CCM,BUCSHON FOR CONGRESS,,,,,,PO BOX 250,,NEWBURGH,IN,47629,,,2024-10-19,147.28,,In-kind - Local Transportation,,C00468256,,,,,,,,H,IN,08,,,,,,,,
SB21B,C00798009,SB21B.4408,,,CCM,BUCSHON FOR CONGRESS,,,,,,PO BOX 250,,NEWBURGH,IN,47629,,,2024-10-19,997.99,,In-kind - Lodging,,C00468256,,,,,,,,H,IN,08,,,,,,,,
SB21B,C00798009,SB21B.4409,,,CCM,BUCSHON FOR CONGRESS,,,,,,PO BOX 250,,NEWBURGH,IN,47629,,,2024-10-19,1151.90,,In-kind - Airfare,,C00468256,,,,,,,,H,IN,08,,,,,,,,
SB21B,C00798009,SB21B.4362,,,ORG,"Concentric Office, LLC",,,,,,8136 Old Keene Mill Rd,Ste A300,Springfield,VA,22152,,,2024-10-28,1500.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00798009,SB21B.4373,,,ORG,Doc Shop LLC,,,,,,499 S Capitol St SW,Ste 405,Washington,DC,20003,,,2024-11-04,19249.12,,Fundraising (See Memos),,,,,,,,,,,,,,,,,,,,
SB21B,C00798009,SB21B.4373.0,SB21B.4373,SB21B,ORG,Doc Shop LLC,,,,,,499 S Capitol St SW,Ste 405,Washington,DC,20003,,,2024-11-04,16225.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4373.1,SB21B.4373,SB21B,ORG,Bullfeathers,,,,,,410 First St SE,,Washington,DC,20003,,,2024-09-19,314.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4373.2,SB21B.4373,SB21B,ORG,United Airlines,,,,,,233 S Wacker DrC,,Chicago,IL,60606,,,2024-10-18,774.95,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4373.5,SB21B.4373,SB21B,ORG,Uber,,,,,,1725 Third Street,,San Francisco,CA,94158,,,2024-10-20,145.19,,Transportation Svc,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4373.6,SB21B.4373,SB21B,ORG,Hermitage Hotel,,,,,,231 6th Ave N,,Nashville,TN,37219,,,2024-10-20,1340.73,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4400,,,ORG,Doc Shop LLC,,,,,,499 S Capitol St SW,Ste 405,Washington,DC,20003,,,2024-11-14,660.00,,Reimb. (See Memo),,,,,,,,,,,,,,,,,,,,
SB21B,C00798009,SB21B.4400.0,SB21B.4400,SB21B,ORG,Harmon Curran,,,,,,"1725 DeSales Street, NW",Suite 500,Washington,DC,20036,,,2024-11-14,660.00,,Legal Consulting,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4391,,,ORG,Machado & Company,,,,,,6111 Newman Road,,Fairfax,VA,22030,,,2024-11-05,8005.92,,Fundraising (See Memos),,,,,,,,,,,,,,,,,,,,
SB21B,C00798009,SB21B.4391.0,SB21B.4391,SB21B,ORG,Machado & Company,,,,,,6111 Newman Road,,Fairfax,VA,22030,,,2024-11-05,7500.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4391.1,SB21B.4391,SB21B,ORG,Drusie & Darr,,,,,,231 6th Ave N,,Nashville,TN,37219,,,2024-11-05,505.92,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00798009,SB21B.4338,,,ORG,"Prevail Strategies, LLC",,,,,,7304 Aemilian Way,,Austin,TX,78730,,,2024-10-18,15000.00,,Media Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00798009,SB21B.4364,,,ORG,"Prevail Strategies, LLC",,,,,,7304 Aemilian Way,,Austin,TX,78730,,,2024-11-01,500.00,,Web Design,,,,,,,,,,,,,,,,,,,,
