form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00821058,B0755003559A24D83AA4,,,ORG,UNITED AIRLINES,,,,,,233 S WACKER DR,,CHICAGO,IL,606067147,,,2024-07-01,50.00,,TRAVEL,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,B479A642F593C49C4A38,,,ORG,BANDON DUNES GOLF RESORT,,,,,,57744 ROUND LAKE RD,,BANDON,OR,974116360,,,2024-07-01,42.00,,FOOD/BEVERAGE,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,BDD0E1FE183F6411E8EB,,,ORG,BANDON DUNES GOLF RESORT,,,,,,57744 ROUND LAKE RD,,BANDON,OR,974116360,,,2024-07-01,111.80,,FOOD/BEVERAGE,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,BCC81EE172537460DB75,,,ORG,BANDON DUNES GOLF RESORT,,,,,,57744 ROUND LAKE RD,,BANDON,OR,974116360,,,2024-07-01,40.00,,FOOD/BEVERAGE,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,BF1F68DD96F1B43EA9B6,,,ORG,BANDON DUNES GOLF RESORT,,,,,,57744 ROUND LAKE RD,,BANDON,OR,974116360,,,2024-07-01,58.00,,FOOD/BEVERAGE,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,B65149FFFEF9D4B21ABF,,,ORG,BANDON DUNES GOLF RESORT,,,,,,57744 ROUND LAKE RD,,BANDON,OR,974116360,,,2024-07-01,29.00,,FOOD/BEVERAGE,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,BFB84FD5B096D4592B65,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS,TX,752619616,,,2024-07-02,426.48,,TRAVEL,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,B4D500F9166E24FB39CA,,,ORG,US SENATE GIFT SHOP,,,,,,C STREET NE,,WASHINGTON,DC,205100001,,,2024-07-02,50.00,,GIFT--COOKBOOKS,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,B1E2800672F414D00828,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS,TX,752619616,,,2024-07-03,63.99,,TRAVEL,,,,,,,,,,,,,,,,,,,,,
SB21B,C00821058,B6370C40B7A6E48ABB2B,,,ORG,CARROLL TRAVEL,,,,,,201 MASSACHUSETTS AVE NE,,WASHINGTON,DC,200024957,,,2024-07-03,40.00,,TRAVEL,,,,,,,,,,,,,,,,,,,,,
