form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00203497,SB29.27187,,,ORG,CAROL ALVARADO CAMPAIGN,,,,,,816 RALFALLEN,,HOUSTON,TX,77008,,,2024-10-01,5000.00,,NON-FEDERAL DONATION,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27199,,,ORG,Dade Phelan Campaign,,,,,,PO Box 848,,Nederland,TX,77627,,,2024-11-11,10000.00,,Non-Federal Donation,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27195,,,ORG,Friends of Paul Bettencourt,,,,,,1 E Greenway Plaza,Suite 225,Houston,TX,77046,,,2024-10-22,5000.00,,NON-FEDERAL DONATION,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27190,,,ORG,PHILIP CORTEZ CAMPAIGN,,,,,,7919 LIBETY ISLAND,,SAN ANTONIO,TX,78227,,,2024-10-01,5000.00,,Non-Federal Donation,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27193,,,ORG,Richard Pena Raymond Campaign,,,,,,Po Box 450349,,Laredo,TX,78045,O2500,10/15,2024-10-15,2500.00,,NON-FEDERAL DONATION,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27197,,,ORG,SYLVIA GARCIA CAMPAIGN,,,,,,PO BOX 8530,,HOUSTON,TX,77249,,,2024-10-23,-5000.00,,Void Check 9-10-24,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27198,,,ORG,SYLVIA GARCIA CAMPAIGN,,,,,,PO BOX 8530,,HOUSTON,TX,77249,,,2024-10-23,5000.00,,NON FEDERAL CONTRIBUTION,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27196,,,ORG,TEXANS FOR CHARLES SCHWERTNER,,,,,,PO Box 2448,,Georgetown,TX,78627,,,2024-10-22,2500.00,,NON-FEDERAL DONATION,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27191,,,ORG,TEXANS FOR DAN PATRICK,,,,,,P.O. BOX 79544,,HOUSTON,TX,77279,,,2024-10-01,10000.00,,Non-Federal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00203497,SB29.27192,,,ORG,Valoree Swanson for Texas House Campaign,,,,,,6046 FM 2920,#619,Spring,TX,77379,,,2024-10-01,2500.00,,NON FEDERAL CONTRIBTUTION,,,,,,,,,,,,,,,,,,,,
