form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00852012,SB22.1,,,CCM,DAVE MCCORMICK FOR US SENATE,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-01-17,73947.41,,NET DISTRIBUTION OF JFC PROCEEDS,,C00800623,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.3,,,PAC,PENNSYLVANIA HONOR,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-01-17,160397.60,,NET DISTRIBUTION OF JFC PROCEEDS,,C00851998,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.2,,,PTY,NRSC,,,,,,425 2ND ST NE,,WASHINGTON,DC,20002,,,2024-01-17,70492.69,,NET DISTRIBUTION OF JFC PROCEEDS,,C00027466,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.4,,,PTY,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,,,,,,3501 NORTH FRONT STREET,STE 200,HARRISBURG,PA,17110,,,2024-01-17,331570.64,,NET DISTRIBUTION OF JFC PROCEEDS,,C00044842,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.5,,,CCM,DAVE MCCORMICK FOR US SENATE,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-03-27,56408.24,,NET DISTRIBUTION OF JFC PROCEEDS,,C00800623,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.6,,,CCM,FRIENDS OF DAVE MCCORMICK,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-03-27,532796.47,,NET DISTRIBUTION OF JFC PROCEEDS,,C00851980,,S2PA00661,,,,,,S,PA,,  ,,,,,,,
SB22,C00852012,SB22.8,,,PAC,PENNSYLVANIA HONOR,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-03-27,80463.89,,NET DISTRIBUTION OF JFC PROCEEDS,,C00851998,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.7,,,PTY,NRSC,,,,,,425 2ND ST NE,,WASHINGTON,DC,20002,,,2024-03-27,75232.80,,NET DISTRIBUTION OF JFC PROCEEDS,,C00027466,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.9,,,PTY,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,,,,,,3501 NORTH FRONT STREET,STE 200,HARRISBURG,PA,17110,,,2024-03-27,232043.52,,NET DISTRIBUTION OF JFC PROCEEDS,,C00044842,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.10,,,CCM,DAVE MCCORMICK FOR US SENATE,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-03-31,25365.27,,NET DISTRIBUTION OF JFC PROCEEDS,,C00800623,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.11,,,CCM,FRIENDS OF DAVE MCCORMICK,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-03-31,405900.75,,NET DISTRIBUTION OF JFC PROCEEDS,,C00851980,,S2PA00661,,,,,,S,PA,,  ,,,,,,,
SB22,C00852012,SB22.13,,,PAC,PENNSYLVANIA HONOR,,,,,,PO BOX 23537,,PITTSBURGH,PA,15222,,,2024-03-31,51575.03,,NET DISTRIBUTION OF JFC PROCEEDS,,C00851998,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.12,,,PTY,NRSC,,,,,,425 2ND ST NE,,WASHINGTON,DC,20002,,,2024-03-31,31443.83,,NET DISTRIBUTION OF JFC PROCEEDS,,C00027466,,,,,,,,,,,  ,,,,,,,
SB22,C00852012,SB22.14,,,PTY,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,,,,,,3501 NORTH FRONT STREET,STE 200,HARRISBURG,PA,17110,,,2024-03-31,147088.92,,NET DISTRIBUTION OF JFC PROCEEDS,,C00044842,,,,,,,,,,,  ,,,,,,,
