form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00225342,SB23.10694,,,CCM,ARMSTRONG FOR CONGRESS,,,,,,1515 BURNT BOAT DRIVE,BOX 112,BISMARCK,ND,58503,P2024,,2023-12-11,1000.00,,Contribution; US House,,C00670547,ARMSTRONG FOR CONGRESS,H8ND00096,ARMSTRONG,KELLY,,,,H,ND,00,,,,,,,,
SB23,C00225342,SB23.10684,,,CCM,CISCOMANI FOR CONGRESS,,,,,,PO BOX 35103,,TUCSON,AZ,85740,P2024,,2023-12-04,1000.00,,Contribution; US House,,C00786194,CISCOMANI FOR CONGRESS,H2AZ02360,CISCOMANI,JUAN,,,,H,AZ,06,,,,,,,,
SB23,C00225342,SB23.10695,,,CCM,CONNOLLY FOR CONGRESS,,,,,,P. O. Box 563,,Merrfield,VA,22116,P2024,,2023-12-14,1500.00,,Contribution; US House,,C00445452,CONNOLLY FOR CONGRESS,H8VA11062,CONNOLLY,GERALD EDWARD,,,,H,VA,11,,,,,,,,
SB23,C00225342,SB23.10688,,,CCM,GABE AMO FOR CONGRESS,,,,,,PO BOX 40457,,PROVIDENCE,RI,02940,P2024,,2023-12-06,1000.00,,Contribution; US House,,C00838060,GABE AMO FOR CONGRESS,H4RI01265,AMO,GABRIEL F,,,,H,RI,01,,,,,,,,
SB23,C00225342,SB23.10851,,,CCM,GILLIBRAND FOR SENATE,,,,,,236 MASSACHUSETTS AVE SUITE 110,,WASHINGTON,DC,20002,P2024,,2023-12-11,1000.00,,Contribution; US Senate,,C00413914,GILLIBRAND FOR SENATE,H6NY20167,GILLIBRAND,KIRSTEN ELIZABETH,,Mrs.,,H,NY,20,,,,,,,,
SB23,C00225342,SB23.10696,,,CCM,KAINE VICTORY FUND,,,,,,1751 POTOMAC GREENS DRIVE,,ALEXANDRIA,VA,22314,,,2023-12-14,2000.00,,Contribution,,C00629378,,,,,,,,,,,,,,,,,,
SB23,C00225342,SB23.10687,,,CCM,MCCLELLAN FOR CONGRESS,,,,,,PO BOX 818,,RICHMOND,VA,23218,P2024,,2023-12-05,2000.00,,Contribution; US House,,C00829812,MCCLELLAN FOR CONGRESS,H4VA04066,MCCLELLAN,JENNIFER,,,,H,VA,04,,,,,,,,
SB23,C00225342,SB23.10685,,,CCM,MIKE BOST FOR CONGRESS COMMITTEE,,,,,,PO BOX 1212,,MURPHYSBORO,IL,62966,P2024,,2023-12-05,500.00,,Contribution; US House,,C00546499,MIKE BOST FOR CONGRESS COMMITTEE,H4IL12060,BOST,MICHAEL,,,,H,IL,12,,,,,,,,
SB23,C00225342,SB23.10692,,,PAC,MINNESOTA DFL SENATE CAUCUS,,,,,,PO BOX 7307,,ST PAUL,MN,55107,,,2023-12-06,1000.00,,Contribution,,C00380352,,,,,,,,,,,,,,,,,,
SB23,C00225342,SB23.10691,,,PAC,TOMORROW IS MEANINGFUL PAC,,,,,,1409 ASHLEY RIVER RD,,CHARLESTON,SC,29407,,,2023-12-06,1500.00,,Contribution,,C00495887,,,,,,,,,,,,,,,,,,
SB23,C00225342,SB23.10686,,,CCM,ZINKE FOR CONGRESS,,,,,,704C 13TH ST E,STE 260,WHITEFISH,MT,59937,P2024,,2023-12-05,1000.00,,Contribution; US House,,C00778159,ZINKE FOR CONGRESS,H4MT01041,ZINKE,RYAN K,,,,H,MT,01,,,,,,,,
