form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00760108,SB21B.6263,,,ORG,"D&D EVENTS, INC.",,,,,,2026 KIMBERLY DR,,MOUNT JULIET,TN,37122,,,2024-05-30,4398.41,,CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6324,,,IND,,MCKINLEY,MEGAN,,,,202 PROMENADE VISTA STREET #1206,,CHARLESTON,SC,29412,,,2024-05-30,2800.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6265,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT ST,SUITE 401,BEVERLY,MA,01915,,,2024-04-02,564.55,,COMPLIANCE CONSULTING & DATA PROCESSING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6266,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT ST,SUITE 401,BEVERLY,MA,01915,,,2024-05-07,633.73,,"COMPLIANCE CONSULTING, DATA PROCESSING SERVICES & POSTAGE",,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6267,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT ST,SUITE 401,BEVERLY,MA,01915,,,2024-06-06,13.82,,POSTAGE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6268,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT ST,SUITE 401,BEVERLY,MA,01915,,,2024-06-06,530.68,,"COMPLIANCE CONSULTING, DATA PROCESSING SERVICES & POSTAGE",,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6270,,,ORG,"RICH ENTERTAINMENT TOURING, INC.",,,,,,4011 ARMORY OAKS DR,,NASHVILLE,TN,37204,,,2024-05-02,3750.00,,FACILITY RENTAL/CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6271,,,ORG,"RICH ENTERTAINMENT TOURING, INC.",,,,,,4011 ARMORY OAKS DR,,NASHVILLE,TN,37204,,,2024-05-29,3750.00,,FACILITY RENTAL/CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6272,,,ORG,THE ARCHMANN GROUP,,,,,,659 NOCATEE VILLAGE DRIVE,,PONTE VEDRA,FL,32081,,,2024-05-22,17688.50,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6274,,,ORG,THE RITZ-CARLTON HOTEL COMPANY,,,,,,280 VANDERBILT BEACH RD,,NAPLES,FL,34108,,,2024-04-18,8904.00,,FACILITY RENTAL/CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6322,,,IND,,WILCOXSON,LARRY,,,,2606 56TH ST,,W LEHIGH ACRES,FL,33971,,,2024-05-06,8140.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6325,,,IND,,WILCOXSON,LARRY,,,,2606 56TH ST,,W LEHIGH ACRES,FL,33971,,,2024-06-06,1200.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6279,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-04,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6280,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-05,256.10,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6281,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-08,19.70,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6282,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-11,0.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6283,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-12,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6284,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-15,19.70,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6285,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-16,555.54,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6286,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-17,130.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6287,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-18,638.48,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6288,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-19,130.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6289,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-22,78.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
