form_type,filer_committee_id_number,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,expenditure_date,expenditure_purpose_descrip,beneficiary_committee_name,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,category_code,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,election_code,election_other_description,expenditure_amount,semi_annual_refunded_bundled_amt,memo_code,memo_text_description,image_number,beneficiary_committee_fec_id
SB23,C00157875,CORY MILLS FOR CONGRESS,,,,,,501 N ORLANDO AVENUE SUITE 313,,WINTER PARK,FL,32789,2023-02-27,CONTRIBUTION,,MILLS,CORY,,,,,H,FL,07,,,1000.00,,,,202308030300448955,C00774943
SB23,C00157875,CATHY MCMORRIS FOR CONGRESS,,,,,,BOX 137,,SPOKANE,WA,99210,2023-03-20,CONTRIBUTION,,MCMORRIS,CATHY,,,,,H,WA,05,,,1000.00,,,,202308030300448954,C00390476
SB23,C00157875,COLLINS FOR CONGRESS,,,,,,23 CAMEO DR,,NASHVILLE,TN,37211,2023-05-12,CONTRIBUTION,,COLLINS,,,,,,H,TN,05,,,1000.00,,,,202308030300448954,C00463430
SB23,C00157875,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,2023-05-12,CONTRIBUTION,,LAWLER,,,,,,H,NY,17,,,1000.00,,,,202308030300448955,C00815415
SB23,C00157875,LORI CHAVEZ FOR CONGRESS,,,,,,11805 SE EAST BOURNE LANE,,HAPPY VALLEY,OR,97086,2023-05-12,CONTRIBUTION,,CHAVEZ,LORI,,,,,H,OR,05,,,1000.00,,,,202308030300448956,C00784520
SB23,C00157875,"SCOTT, BOBBY",,,,,,PO BOX 251,,NEWPORT NEWS,VA,23607,2023-05-12,CONTRIBUTION,,SCOTT,BOBBY,,,,,,,,,,1000.00,,,,202308030300448956,C00204669
SB23,C00157875,TITUS FOR CONGRESS,,,,,,PO BOX 72454,,LAS VEGAS,NV,89170,2023-05-12,CONTRIBUTION,,TITUS,,,,,,H,NV,01,,,1000.00,,,,202308030300448956,C00499467
SB23,C00157875,VIRGINIA FOXX FOR CONGRESS,,,,,,PO BOX 2676,,BOONE,NC,28607,2023-02-27,CONTRIBUTION,,FOXX,VIRGINIA,,,,,H,NC,05,,,1000.00,,,,202308030300448957,C00386748
SB23,C00157875,SAM GRAVES FOR CONGRESS ,,,,,,PO BOX 201,,PLATTE CITY,MO,64079,2023-02-27,CONTRIBUTION,,GRAVES,SAM,,,,,H,MO,06,,,1000.00,,,,202308030300448955,C00359034
SB23,C00157875,BILL CASSIDY FOR US SENATE,,,,,,PO BOX 80505,,BATON ROUGE,LA,70898,2023-05-12,CONTRIBUTION,,CASSIDY,BILL,,,,,S,LA,,,,1000.00,,,,202308030300448954,C00543983
