form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00794024,SB21B.4476,,,ORG,ASHBY LAW,,,,,,602 CAMERON STREET,,ALEXANDRIA,VA,22314,,,2023-02-06,475.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4485,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2023-02-23,2444.00,,FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4474,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-01-26,8232.87,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4475,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-01-31,471.42,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4477,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-02-09,1927.05,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4479,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-02-27,9859.67,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4486,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-02-27,3751.54,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4480,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-03-14,5000.00,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4481,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-03-15,1666.00,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4482,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-03-15,5240.16,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4478,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-03-23,131.99,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4488,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-03-27,5240.16,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4489,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-03-31,12133.16,,STAFFING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4484,,,ORG,"WHEELERHOUSE, LLC",,,,,,415 WARNER STREET NW,,WASHINGTON,DC,20001,,,2023-01-04,750.00,,FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
