form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00509463,SB21B.6500,,,ORG,"Angerholzer Broz Consulting, LLC",,,,,,499 South Capitol Street SW,Suite 420,Washington,DC,20003,,,2023-06-20,58.30,,Consulting Fees and Rimbursed Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6468,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-02-06,16.95,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6467,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-03-01,84.79,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6466,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-03-07,16.95,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6465,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-03-29,84.79,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6464,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-04-06,16.95,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6463,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-04-24,99.99,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6461,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-05-01,84.79,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6462,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-05-01,76.19,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6460,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-05-08,16.95,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6459,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-05-30,84.79,,Website,,,,,,,,,,,,,,,,,,,,
