form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00873893,SB21B.1040757,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-12-04,297428.44,,COLLATERAL: CAPS & FREIGHT
SB21B,C00873893,SB21B.1041649,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-12-11,120958.24,,"COLLATERAL: APPAREL, CAPS, & FREIGHT"
SB21B,C00873893,SB21B.1042310,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-12-16,92524.12,,COLLATERAL: APPAREL & CAPS
SB21B,C00873893,SB21B.1043513,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-12-30,162784.23,,"COLLATERAL: APPAREL, CAPS, & FREIGHT"
SB21B,C00873893,SB21B.1039712,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-11-27,291076.39,,COLLATERAL: CAPS & FREIGHT
SB21B,C00873893,SB21B.1040312,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,,2024-12-10,1513.16,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB21B,C00873893,SB21B.1040312.1,SB21B.1040312,SB21B,ORG,ALLIANZ TRAVEL INSURANCE,,,,,,9950 MAYLAND DRIVE,,RICHMOND,VA,23233,,,2024-11-19,219.92,,INSURANCE,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.3,SB21B.1040312,SB21B,ORG,BRIGHTLINE TRAINS FLORIDA LLC,,,,,,350 NW 1ST AVE,SUITE 200,MIAMI,FL,33128,,,2024-11-03,318.00,,TRAVEL: RAIL,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.4,SB21B.1040312,SB21B,ORG,HILTON,,,,,,7930 JONES BRANCH DR,,MCLEAN,VA,22102,,,2024-11-07,789.34,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.5,SB21B.1040312,SB21B,ORG,PALM BEACH SHIPPING CENTER,,,,,,1691 FORUM PLACE,,WEST PALM BEACH,FL,33401,,,2024-10-29,26.31,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.6,SB21B.1040312,SB21B,ORG,"RIVERSIDEFM, INC.",,,,,,2345 YALE ST,FL 1,PALO ALTO,CA,94306,,,2024-11-06,29.00,,SOFTWARE,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.7,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-10-30,41.68,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.8,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-10-30,13.75,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.9,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-10-31,13.75,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.10,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-10-31,13.75,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.11,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-11-07,17.44,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.12,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-11-07,16.47,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040312.13,SB21B.1040312,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-11-07,13.75,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1040232,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-03,643.27,,MERCHANT FEES
SB21B,C00873893,SB21B.1040239,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-04,693.89,,MERCHANT FEES
SB21B,C00873893,SB21B.1040530,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-04,362.60,,MERCHANT FEES
SB21B,C00873893,SB21B.1041006,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-06,551.32,,MERCHANT FEES
SB21B,C00873893,SB21B.1041356,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-10,452.47,,MERCHANT FEES
SB21B,C00873893,SB21B.1041362,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-11,299.55,,MERCHANT FEES
SB21B,C00873893,SB21B.1041761,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-12,522.08,,MERCHANT FEES
SB21B,C00873893,SB21B.1042058,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-16,690.84,,MERCHANT FEES
SB21B,C00873893,SB21B.1042242,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-18,397.16,,MERCHANT FEES
SB21B,C00873893,SB21B.1042410,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-18,169.76,,MERCHANT FEES
SB21B,C00873893,SB21B.1042818,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-20,831.69,,MERCHANT FEES
SB21B,C00873893,SB21B.1043145,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-27,560.11,,MERCHANT FEES
SB21B,C00873893,SB21B.1043166,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-27,405.42,,MERCHANT FEES
SB21B,C00873893,SB21B.1043508,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-30,531.56,,MERCHANT FEES
