form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00821231,SB21B.33273,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENINGBROUGH PL,,LEESBURG,VA,20176,,,2024-09-26,35.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33245,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-16,10.86,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33251,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-17,9.73,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33255,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-18,87.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33261,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-19,19.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33265,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-20,3.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33267,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-23,7.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33269,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-24,15.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33272,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-09-26,7.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33231,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET SUITE 401,,BEVERLY,MA,01915,,,2024-09-11,1060.95,,"COMPLIANCE CONSULTING, POSTAGE",,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33246,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 NORTH SAINT ASAPH STREET,,ALEXANDRIA,VA,22314,,,2024-09-16,20.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
