form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00562777,SB21B.9341,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2023-11-01,0.04,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9339,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-01,15.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9343,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-02,25.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9345,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-03,25.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9347,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-06,15.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9350,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-10,25.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9352,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-13,15.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9355,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-20,15.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9357,,,ORG,Capital One N.A.,,,,,,1200 F Street NW,,Washington,DC,20004,,,2023-11-29,25.00,,Wire Transfer Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9346,,,COM,Latino Victory Fund Arizona,,,,,,PO Box 34104,,Washington,DC,20043,,,2023-11-03,1200.00,,Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9344,,,PAC,Latino Victory Fund Florida PAC,,,,,,PO Box 34104,,Washington,DC,20005,,,2023-11-02,1000.00,,Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9348,,,COM,Latino Victory Fund NY State PAC,,,,,,P.O. Box 34104,,Washington,DC,20043,,,2023-11-06,500.00,,Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9349,,,COM,Latino Victory Fund NY State PAC,,,,,,P.O. Box 34104,,Washington,DC,20043,,,2023-11-06,500.00,,Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9342,,,ORG,Paragon Solutions,,,,,,2141 E Broadway Rd,Ste 202,Tempe,AZ,85282,,,2023-11-02,114.80,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00562777,SB21B.9351,,,ORG,The Money Wheel LLC,,,,,,1325 W Holly St,,Phoenix,AZ,85007,,,2023-11-10,1500.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
