form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00544957,SB29.8826,,,CCM,Aruna Miller for Maryland,,,,,,PO Box 50123,,Baltimore,MD,21211,P2024,,2023-10-19,6000.00,,,,,Aruna Miller for Maryland,,Miller,Aruna,,,,,,,,,,,,,,
SB29,C00544957,SB29.8867,,,CCM,Citizens for Antonio Hayes,,,,,,1215 E Fort Ave,#106,Baltimore,MD,21230,P2024,,2023-11-21,250.00,,,,,Citizens for Antonio Hayes,,Hayes,Antonio,,,,,,,,,,,,,,
SB29,C00544957,SB29.8827,,,CCM,Fentrice Driskell Campaign,,,,,,PO Box 17154,,Tampa,FL,33682,G2024,,2023-09-14,1000.00,,,,,Fentrice Driskell Campaign,,Driskell,Fentrice,,,,,,,,,,,,,,
SB29,C00544957,SB29.8828,,,CCM,Florida Farmers and Ranchers United,,,,,,1103 Hays Street,,Tallahassee,FL,32301,G2024,,2023-09-14,1000.00,,,,,Florida Farmers and Ranchers United,,Tomkow,Josie,,,,,,,,,,,,,,
SB29,C00544957,SB29.8829,,,CCM,Friends of Alonzo Washington,,,,,,PO Box 355,,Hyattsville,MD,20781,P2024,,2023-11-21,250.00,,,,,Friends of Alonzo Washington,,Washington,Alonzo,,,,,,,,,,,,,,
SB29,C00544957,SB29.8830,,,CCM,Friends of Bonnie Cullison,,,,,,3404 Beret Lane,,Silver Springs,MD,20906,P2024,,2023-11-21,500.00,,,,,Friends of Bonnie Cullison,,Cullison,Bonnie,,,,,,,,,,,,,,
SB29,C00544957,SB29.8831,,,CCM,Friends of Clarence Lam,,,,,,PO Box 891,,Columbia,MD,21044,P2024,,2023-11-21,1000.00,,,,,Friends of Clarence Lam,,Lam,Clarence,,,,,,,,,,,,,,
SB29,C00544957,SB29.8832,,,CCM,Friends of Colleen Burton,,,,,,1103 Hays Street,,Tallahassee,FL,32301,G2024,,2023-09-14,1000.00,,,,,Friends of Colleen Burton,,Burton,Colleen,,,,,,,,,,,,,,
SB29,C00544957,SB29.8833,,,CCM,Friends of Ed Hooper,,,,,,PO Box 4268,,Clearwater,FL,33578,G2024,,2023-09-14,1000.00,,,,,Friends of Ed Hooper,,Hooper,Ed,,,,,,,,,,,,,,
SB29,C00544957,SB29.8860,,,CCM,Friends of Gayle Harrell,,,,,,1103 Hays Street,,Tallahassee,FL,32301,G2024,,2023-09-14,1000.00,,,,,Friends of Gayle Harrell,,Harrell,Gayle,,,,,,,,,,,,,,
