form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00841130,SB21B.42,,,ORG,"SNOWFLAKE, INC.",,,,,,106 E BABCOCK ST,SUITE 3A,BOZEMAN,MT,59715,,,2024-04-01,28607.40,,DATABASE MANAGEMENT ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.26,,,ORG,"THREE ARBOR INSURANCE, INC.",,,,,,"2828 OLD 280 COURT, SUITE 126",,VESTAVIA,AL,35243,,,2024-04-01,4433.03,,INSURANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.4,,,ORG,CMDI,,,,,,"1595 SPRING HILL ROAD, SUITE 500",,TYSONS CORNER,VA,22182,,,2024-04-04,30371.31,,DATABASE MANAGEMENT ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.45,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,"1776 WILSON BOULEVARD, STE 530",,ARLINGTON,VA,22209,,,2024-04-06,15.00,,CREDIT CARD PROCESSING FEES ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.2,,,ORG,"CLOUDLFARE, INC.",,,,,,101 TOWNSEND STREET,,SAN FRANCISCO,CA,94107,,,2024-04-08,5049.94,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.9,,,ORG,"ENTERPRISE HOLDINGS, INC.",,,,,,600 CORPORATE PARK DRIVE,,ST. LOUIS,MO,63105,,,2024-04-08,25.00,,TRAVEL ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.34,,,ORG,FORMAGRID INC ,,,,,,799 MARKET ST,FL 8,SAN FRANCISCO,CA,94103,,,2024-04-08,5940.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.43,,,ORG,STAPLES,,,,,,PO BOX 70242,,PHILADELPHIA,PA,19176,,,2024-04-08,3897.64,,PRINTING ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.149,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY STREET ,,NEW YORK ,NY,10285,,,2024-04-12,11059.92,,CREDIT CARD PAYMENT ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841130,SB21B.150,SB21B.149,SB21B,ORG,1PASSWORD,,,,,,4711 YONGE ST 10TH FLOOR,,NORTH YORK,ON,M2N6K,,,2024-04-12,703.12,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00841130,SB21B.151,SB21B.149,SB21B,ORG,ADOBE,,,,,,801 N 34TH ST,,SEATTLE,WA,98103,,,2024-04-12,758.38,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,X,
