form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763227,SB21B.I22420,,,ORG,"AMH PRINT GROUP, LLC",,,,,,P.O. BOX 518,,MECHANICSVILLE,VA,23111,,,2023-08-24,5866.85,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I665,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-07-24,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I667,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-08-22,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I668,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-08-22,750.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I678,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-09-21,435.15,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I679,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-09-22,1250.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I683,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-11-21,1250.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I685,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-12-21,1250.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I690,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,STE 400,VIENNA,VA,22182,,,2023-10-24,1250.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22386,,,ORG,DIRECT MAIL PROCESSORS,,,,,,1150 CONRAD COURT,,HAGERSTOWN,MD,21740,,,2023-07-06,4473.69,,CAGING AND ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22430,,,ORG,DIRECT MAIL PROCESSORS,,,,,,1150 CONRAD COURT,,HAGERSTOWN,MD,21740,,,2023-09-07,4285.86,,CAGING AND ESCROW,,,,,,,,,,,,,  ,,,,,,,
