form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00764860,SB29.I503,,,IND,,BUZZETTI,AIDEN,,,,220 20TH STREET SOUTH APT 1410,,ARLINGTON,VA,22202,P2024,PRIMARY,2023-06-05,427.00,,EVENT AND TRAVEL REIMBURSEMENT,001,,,,,,,,,,,,  ,,,,,,,
SB29,C00764860,SB29.I504,SB29.I503,SB29,ORG,MOMS FOR LIBERTY,,,,,,220 20TH STREET SOUTH,,ARLINGTON,VA,22240,P2024,,2023-06-01,249.00,,NATIONAL SUMMIT EVENT,001,,,,,,,,,,,,  ,,,,,,X,
SB29,C00764860,SB29.I45,,,IND,,GIRDUSKY,RYAN,,,,60-53 72ND ST,,MASPETH,NY,11378,P2024,PRIMARY,2023-04-26,2329.38,,TRAVEL REIMBURSEMENT,001,,,,,,,,,,,,  ,,,,,,,
SB29,C00764860,SB29.I175,SB29.I45,SB29,ORG,ENTERPRISE RENT A CAR,,,,,,1805 EAST SKY HARBOR CIR SOUTH,,PHOENIX,AZ,85034,P2024,,2023-04-20,584.05,,TRAVEL RENTAL CAR,002,,,,,,,,,,,,  ,,,,,,X,
SB29,C00764860,SB29.I174,SB29.I45,SB29,ORG,HILTON GARDEN INN,,,,,,15 EAST MONROE STREET,,PHOENIX,AZ,85004,P2024,,2023-04-20,996.59,,TRAVEL LODGING,002,,,,,,,,,,,,  ,,,,,,X,
SB29,C00764860,SB29.I177,SB29.I45,SB29,ORG,HOLIDAY INN EXPRESS,,,,,,3131 NORTH SCOTTSDALE ROAD,,SCOTTSDALE,AZ,85251,P2024,,2023-04-19,559.25,,TRAVEL LODGING,002,,,,,,,,,,,,  ,,,,,,X,
SB29,C00764860,SB29.I491,,,ORG,AMERICAN AIRLINES,,,,,,1 SKYVIEW DRIVE,,FORT WORTH,TX,75261,P2024,PRIMARY,2023-04-11,848.90,,TRAVEL AIRFARE,002,,,,,,,,,,,,  ,,,,,,,
SB29,C00764860,SB29.I698,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2023-04-30,361.88,,ONLINE DONATION PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00764860,SB29.I699,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2023-05-31,300.49,,ONLINE DONATION PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00764860,SB29.I700,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2023-06-30,411.02,,ONLINE DONATION PROCESSING,,,,,,,,,,,,,  ,,,,,,,
