form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00871368,501222019,,,PAC,AB PAC,,,,,,800 Maine Ave SW,,Washington,DC,200242805,G2024,,2024-11-08,374797.39,0.00,Management Fees,,C00492140,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222029,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-10-20,108.63,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222030,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-10-27,382.45,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222031,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-10-31,25.13,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222032,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-11-17,17.81,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222015,,,ORG,Amalgamated Bank,,,,,,275 7Th Ave,,New York,NY,100016708,,,2024-10-29,522.75,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501212403,,,ORG,Bully Pulpit Interactive,,,,,,1445 New York Ave NW,Fl 5,Washington,DC,200052134,G2024,,2024-10-18,9527.26,0.00,Data and Consulting Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222022,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-10-18,276.57,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222023,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-10-18,84.30,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222025,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-10-18,280.60,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222037,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-10-18,654.15,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222026,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-10-30,47.42,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222027,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-10-31,3.51,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222028,,,ORG,Democracy Engine,,,,,,2125 14Th St NW,,Washington,DC,200094464,,,2024-11-04,3.42,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222018,,,ORG,Good Kiwi,,,,,,3237 37Th Ave SW,,Seattle,WA,981262214,,,2024-11-05,1500.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222016,,,ORG,GPS Impact,,,,,,220 SE 6Th St,Ste 330,Des Moines,IA,503094845,,,2024-11-04,202500.00,0.00,Advertising Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00871368,501222017,,,ORG,"NGP VAN, Inc.",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2024-11-04,106.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
