form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00685297,500460473,,,CCM,ALLYSON FOR CONGRESS,,,,,,PO Box 1813,,Tustin,CA,927811813,P2024,,2023-09-22,5000.00,0.00,Contribution,,C00841072,,,DAMIKOLAS,ALLYSON,,,,H,CA,40,,,,,,,,
SB23,C00685297,500482278,500488157,SB23,CCM,MARY PELTOLA FOR ALASKA,,,,,,PO Box 210014,,Anchorage,AK,995210014,G2024,,2023-09-30,5000.00,0.00,Contribution paid via credit card 11.14.23 see line 21B,,C00812388,,,PELTOLA,MARY,,,,H,AK,01,,,,,,,X,*
SB23,C00685297,500460733,,,CCM,Andrea Salinas For Oregon,,,,,,PO Box 230985,,Tigard,OR,972810985,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,,
SB23,C00685297,500465001,,,CCM,Andrea Salinas For Oregon,,,,,,PO Box 230985,,Tigard,OR,972810985,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,,
SB23,C00685297,500482088,,,CCM,Andrea Salinas For Oregon,,,,,,PO Box 230985,,Tigard,OR,972810985,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,,
SB23,C00685297,500460734,,,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,G2024,,2023-09-25,1000.00,0.00,Contribution,,C00575209,,,CRAIG,ANGELA,DAWN,,,H,MN,02,,,,,,,,
SB23,C00685297,500464969,,,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00575209,,,CRAIG,ANGELA,DAWN,,,H,MN,02,,,,,,,,
SB23,C00685297,500482061,,,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00575209,,,CRAIG,ANGELA,DAWN,,,H,MN,02,,,,,,,,
SB23,C00685297,500463221,,,CCM,BARBARA LEE FOR U.S. SENATE,,,,,,PO Box 6787,,Oakland,CA,946030787,P2024,,2023-10-12,1000.00,0.00,Contribution,,C00833608,,,Lee,Barbara,,,,S,CA,00,,,,,,,,
SB23,C00685297,500482078,,,CCM,BARBARA LEE FOR U.S. SENATE,,,,,,PO Box 6787,,Oakland,CA,946030787,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00833608,,,Lee,Barbara,,,,S,CA,00,,,,,,,,
SB23,C00685297,500464964,,,CCM,Barragan For Congress,,,,,,1840 S Gaffey St,# 421,San Pedro,CA,907315324,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00577353,,,BARRAGAN,NANETTE,,,,H,CA,44,,,,,,,,
SB23,C00685297,500482050,,,CCM,Barragan For Congress,,,,,,1840 S Gaffey St,# 421,San Pedro,CA,907315324,P2024,,2023-12-14,500.00,0.00,Contribution,,C00577353,,,BARRAGAN,NANETTE,,,,H,CA,44,,,,,,,,
SB23,C00685297,500482051,,,CCM,Barragan For Congress,,,,,,1840 S Gaffey St,# 421,San Pedro,CA,907315324,G2024,,2023-12-14,500.00,0.00,Contribution,,C00577353,,,BARRAGAN,NANETTE,,,,H,CA,44,,,,,,,,
