form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00728667,SB21B.4336,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,STE 1770,NEW ORLEANS,LA,70112,,,2023-10-31,1000.30,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4338,,,ORG,GODADDY.COM,,,,,,14455 N. HAYDEN RD,STE 226,SCOTTSDALE,AZ,85260,,,2023-07-28,71.88,,WEB SERVICE,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4339,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-07-03,55.00,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4340,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-07-31,55.00,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4341,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-08-31,60.00,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4342,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-10-02,60.00,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4343,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-10-30,60.00,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4344,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-12-01,60.00,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4345,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-07-10,162.50,,COMPLIANCE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4346,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-08-08,617.50,,COMPLIANCE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4347,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-11-07,455.00,,COMPLIANCE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4348,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-12-07,65.00,,COMPLIANCE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4349,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2023-08-08,250.00,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4350,,,ORG,"THE MORNING GROUP, LLC",,,,,,5918 4TH STREET NW,,WASHINGTON,DC,20011,,,2023-10-31,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4351,,,ORG,"THE MORNING GROUP, LLC",,,,,,5918 4TH STREET NW,,WASHINGTON,DC,20011,,,2023-12-06,7500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00728667,SB21B.4358,,,ORG,UNITED STATES POSTAL SERVICE,,,,,,475 L'ENFANT PLAZA SW,,WASHINGTON,DC,20260,,,2023-11-16,108.00,,PO BOX RENTAL,,,,,,,,,,,,,,,,,,,,
