form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,500416771,,,CCM,Adam Gray For Congress,,,,,,400 Capitol Mall,Ste 1545,Sacramento,CA,958144434,G2024,,2024-07-26,1500.00,0.00,Contribution,,C00801431,,,GRAY,ADAM,C.,,,H,CA,13,,,,,,,,
SB23,C00409730,17463289C,17463289,SA11C,CCM,Adam Gray For Congress,,,,,,400 Capitol Mall,Ste 1545,Sacramento,CA,958144434,,,2024-07-29,1000.00,0.00,Conduit Contribution,,C00801431,,,GRAY,ADAM,C.,,,H,CA,13,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17472784C,17472784,SA11C,CCM,Adam Gray For Congress,,,,,,400 Capitol Mall,Ste 1545,Sacramento,CA,958144434,,,2024-07-31,2000.00,0.00,Conduit Contribution,,C00801431,,,GRAY,ADAM,C.,,,H,CA,13,,,,,,,X,Earmarked by PAC IN THE SADDLE
SB23,C00409730,500416339,500416338,SB23,CCM,MISSY FOR CONGRESS,,,,,,PO Box 55418,,Virginia Beach,VA,234719418,P2024,,2024-07-09,5000.00,0.00,Contribution made via American Express on Line 17. Contribution was made on 6/18/24.,,C00849836,,,COTTER SMASAL,MISSY,,,,H,VA,02,,,,,,,X,*
SB23,C00409730,17486822C,17486822,SA11C,CCM,Andre Carson For Congress,,,,,,PO Box 1863,,Indianapolis,IN,462061863,,,2024-07-31,4000.00,0.00,Conduit Contribution,,C00442921,,,Carson,Andre,,,,H,IN,07,,,,,,,X,Earmarked by Duke Energy PAC
SB23,C00409730,17475717C,17475717,SA11C,CCM,ANDREA SALINAS FOR OREGON,,,,,,PO Box 230985,,Tigard,OR,972810985,,,2024-07-31,1000.00,0.00,Conduit Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,X,Earmarked by SCIENCE TRUTH AND EXPERTISE MATTER PAC
SB23,C00409730,17382689C,17382689,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-07-10,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Target Citizens Political Forum
SB23,C00409730,17446940C,17446940,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-07-24,1500.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17475722C,17475722,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-07-31,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by SCIENCE TRUTH AND EXPERTISE MATTER PAC
SB23,C00409730,500416774,,,CCM,BACCAM FOR IOWA,,,,,,2813 Virginia Pl,,Des Moines,IA,503211536,G2024,,2024-07-26,2500.00,0.00,Contribution,,C00856021,,,BACCAM,LANON,,,,H,IA,03,,,,,,,,
