form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00256453,SB23.7145,,,CCM,"ANDY BARR FOR CONGRESS, INC.",,,,,,PO BOX 2059,,LEXINGTON,KY,40588,G2024,,2024-11-04,1000.00,,,011,C00467571,"ANDY BARR FOR CONGRESS, INC.",H0KY06104,BARR,GARLAND ANDY,,,,H,KY,06,,,,,,,,
SB23,C00256453,SB23.7144,,,CCM,ANN WAGNER FOR CONGRESS,,,,,,14551 Manchester Road,,BALLWIN,MO,63011,G2024,,2024-11-04,1000.00,,,011,C00495846,ANN WAGNER FOR CONGRESS,H2MO02102,WAGNER,ANN L.,,,,H,MO,02,,,,,,,,
SB23,C00256453,SB23.7151,,,CCM,CLEAVER FOR CONGRESS,,,,,,"4801 MAIN STREET, SUITE 1000",,KANSAS CITY,MO,64112,G2024,,2024-11-04,2500.00,,,011,C00395848,CLEAVER FOR CONGRESS,H4MO05234,CLEAVER,EMANUEL II,,,,H,MO,05,,,,,,,,
SB23,C00256453,SB23.7150,,,CCM,Committee to Re-Elect Nydia M. Velazquez,,,,,,315 Inspiration Lane,,Gaithersburg,MD,20878,G2024,,2024-11-04,1000.00,,,011,C00271312,Committee to Re-Elect Nydia M. Velazquez,,VELAZQUEZ,NYDIA,,,,H,NY,07,,,,,,,,
SB23,C00256453,SB23.7214,,,PAC,DAVIDSON FOR CONGRESS,,,,,,PO BOX 518,,TROY,OH,45373,G2024,,2024-11-04,1000.00,,,011,,,H6OH08315,DAVIDSON,WARREN,,,,H,OH,08,,,,,,,,
SB23,C00256453,SB23.7138,,,CCM,FRENCH HILL FOR ARKANSAS,,,,,,PO BOX 7841,,LITTLE ROCK,AR,72217,G2024,,2024-10-24,5000.00,,,011,C00551275,FRENCH HILL FOR ARKANSAS,H4AR02141,HILL,JAMES FRENCH,,,,H,AR,02,,,,,,,,
SB23,C00256453,SB23.7140,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,PO BOX 15293,,WASHINGTON,DC,20003,G2024,,2024-11-04,2000.00,,,011,C00264697,FRIENDS OF SHERROD BROWN,S6OH00163,BROWN,SHERROD,,,,S,OH,00,,,,,,,,
SB23,C00256453,SB23.7143,,,CCM,HUIZENGA FOR CONGRESS,,,,,,441 WILLIAMS COURT,,ZEELAND,MI,49464,G2024,,2024-11-04,1000.00,,,011,C00459297,HUIZENGA FOR CONGRESS,H0MI02094,HUIZENGA,WILLIAM P,,,,H,MI,02,,,,,,,,
SB23,C00256453,SB23.7139,,,CCM,IN THE ARENA PAC,,,,,,PO BOX 7244,,LITTLE ROCK,AR,72217,G2024,,2024-10-24,5000.00,,,011,C00623512,,,,,,,,,AR,,,,,,,,,
SB23,C00256453,SB23.7146,,,CCM,LARSON FOR CONGRESS,,,,,,PO BOX 261172,,HARTFORD,CT,06126,G2024,,2024-11-04,1000.00,,,011,C00330142,LARSON FOR CONGRESS,H8CT01046,LARSON,JOHN B,,,,H,CT,01,,,,,,,,
SB23,C00256453,SB23.7236,,,CCM,MIKE CRAPO FOR US SENATE,,,,,,PO BOX 1948,,BOISE,ID,83701,G2028,,2024-11-04,2500.00,,,011,C00330886,MIKE CRAPO FOR US SENATE,S8ID00027,CRAPO,MICHAEL D,,,,S,ID,00,,,,,,,,
SB23,C00256453,SB23.7213,,,PAC,MOORE FOR CONGRESS,,,,,,PO BOX 16646,,MILWAUKEE,WI,53216,G2024,,2024-11-04,1000.00,,,011,,,H4WI04183,MOORE,GWEN S,,,,H,WI,04,,,,,,,,
SB23,C00256453,SB23.7152,,,CCM,Wyden For Senate,,,,,,PO Box 3498,,PORTLAND,OR,97208,G2028,,2024-11-04,1500.00,,,011,C00308676,Wyden For Senate,S6OR00110,WYDEN,RONALD LEE,,,,S,OR,00,,,,,,,,
