form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00797340,SB21B.7051,,,ORG,ActBlue,,,,,,366 Summer St.,,Somerville,MA,021443132,P2024,,2023-12-30,1273.22,,Donation fees,003,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7010,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-07-12,3000.00,,Data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7018,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-08-14,3000.00,,data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7053,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-09-13,3000.00,,Data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7037,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-10-24,1500.00,,Data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7042,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-11-15,3750.00,,data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7043,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-11-15,1500.00,,data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7056,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-12-15,1500.00,,data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7057,,,ORG,Avance Strategies,,,,,,6990 Mcnutt Rd.,,Anthony,NM,88021,P2024,,2023-12-15,340.50,,data,005,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7044,,,ORG,Billeter Designs,,,,,,"1220 Senda del Valle, Apt. D",,Santa Fe,NM,87507,P2024,,2023-11-16,420.62,,fundraiser tech support,003,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
