form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00685339,SB29.11631,,,CCM,Boone County Republican Party,,,,,,4565 Greenthread Court,,Zionsville,IN,46077,,,2023-07-21,725.00,,Non-federal contributino,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11684,,,CCM,Buckely for Beech Grove,,,,,,112 North 6th Street,,Beech Grove,IN,46107,,,2023-09-06,500.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11685,,,CCM,Committee to Elect Dave Hofmann,,,,,,PO Box 26647,,Indianapolis,IN,462260647,,,2023-09-06,750.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11635,,,CCM,Committee to Elect Jim Brewster,,,,,,c/o Annette James,1919 Evans Avenue,McKeesport,PA,15132,,,2023-08-03,1200.00,,Non-federal contribution,,,Committee to Elect Jim Brewster,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11636,,,CCM,Jay Costa for State Senate,,,,,,314 Newport Road,,Pittsburgh,PA,15221,,,2023-08-03,2500.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11682,,,CCM,Larry Maggi Election Committee,,,,,,269 East Buffalo Church Road,,Washington,PA,15301,,,2023-08-31,1000.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11681,,,CCM,Martin for Logansport,,,,,,PO Box 624,,Logansport,IN,46947,,,2023-08-28,500.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11683,,,CCM,Myers for Greenwood,,,,,,P O Box 7413,,Greenwood,IN,46142,,,2023-09-06,1000.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11637,,,CCM,Sara for All,,,,,,P O Box 40393,,Pittsburgh,PA,15201,,,2023-08-15,1000.00,,Non-federal contribution,,,Sara for All,,,,,,,,,,,,,,,,,
SB29,C00685339,SB29.11634,,,CCM,Tom Henry for Mayor,,,,,,P O Box 10148,,Fort Wayne,IN,46850,,,2023-08-01,3000.00,,Non-feederal contribution,,,,,,,,,,,IN,,,,,,,,,
SB29,C00685339,SB29.11632,,,PAC,Voice of the People PAC,,,,,,133 West Market Street #184,,Indianapolis,IN,46204,,,2023-07-27,500.00,,Non-federal contribution,,,,,,,,,,,,,,,,,,,,
