form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00000729,30332828,,,CCM,AARON BEAN FOR CONGRESS,,,,,,2640A MITCHAM DRIVE,,TALLAHASSEE,FL,32308,P2024,,2023-09-29,2000.00,0.00,Contribution to Federal Candidate,011,C00816983,AARON BEAN FOR CONGRESS,H2FL04211,Bean,Aaron,,Rep.,,H,FL,04,,,,,,,,
SB23,C00000729,30332980,,,PAC,ABRAHAM LINCOLN PAC,,,,,,"824 S MILLEDGE AVE, STE 101",,ATHENS,GA,30605,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00631051,ABRAHAM LINCOLN PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332967,,,PAC,ALAMO PAC,,,,,,919 CONGRESS AVE,SUITE 1400,AUSTIN,TX,78701,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00387464,ALAMO PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332949,,,PAC,ALL FOR OUR COUNTRY LEADERSHIP PAC,,,,,,"611 PENNSYLVANIA AVE SE, #143",,WASHINGTON,DC,20003,O2023,,2023-12-29,2500.00,0.00,Contribution to Federal Leadership PAC,011,C00629212,ALL FOR OUR COUNTRY LEADERSHIP PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332984,,,PAC,AMERICAN EXCELLENCE PAC,,,,,,1327 H STREET,STE 101,LINCOLN,NE,68508,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00832501,AMERICAN EXCELLENCE PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332953,,,PAC,AMERICAN REVIVAL PAC,,,,,,C/O 228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00639229,AMERICAN REVIVAL PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332882,,,CCM,ANNA ESHOO FOR CONGRESS,,,,,,"555 CAPITOL MALL, SUITE 400",,SACRAMENTO,CA,95814,P2024,,2023-10-18,3000.00,0.00,Contribution to Federal Candidate,011,C00258475,ANNA ESHOO FOR CONGRESS,H8CA12098,Eshoo,Anna,,Rep.,,H,CA,16,,,,,,,,
SB23,C00000729,30332803,,,CCM,ANTHONY PORTANTINO FOR CONGRESS,,,,,,12501 IMPERIAL HWY. STE. 200,,NORWALK,CA,90650,P2024,,2023-09-21,5000.00,0.00,Contribution to Federal Candidate,011,C00832279,ANTHONY PORTANTINO FOR CONGRESS,H4CA30180,Portantino,Anthony,,.,,H,CA,30,,,,,,,,
SB23,C00000729,30332977,,,PAC,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),,,,,,PO BOX 1672,,ALEXANDRIA,VA,22313,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),,,,,,,,,,,,,,,,,
SB23,C00000729,30332825,,,CCM,ARMSTRONG FOR CONGRESS,,,,,,1515 BURNT BOAT DRIVE,BOX 112,BISMARCK,ND,58503,P2024,,2023-09-29,2000.00,0.00,Contribution to Federal Candidate,011,C00670547,ARMSTRONG FOR CONGRESS,H8ND00096,Armstrong,Kelly,,Rep.,,H,ND,00,,,,,,,,
SB23,C00000729,30332992,,,PAC,BADLANDS PAC,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00543207,BADLANDS PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332838,,,PAC,BAKER PAC,,,,,,PO BOX 101,,BAYPORT,NY,11705,O2023,,2023-09-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00770297,BAKER PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332832,,,ORG,BANKS VICTORY FUND,,,,,,PO BOX 30844,,BETHESDA,MD,20824,O2023,,2023-09-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00734913,BANKS VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00000729,30332833,,,CCM,BARRAGAN FOR CONGRESS,,,,,,1840 SOUTH GAFFEY STREET #421,,SAN PEDRO,CA,90731,P2024,,2023-09-29,5000.00,0.00,Contribution to Federal Candidate,011,C00577353,BARRAGAN FOR CONGRESS,H6CA44103,Barragan,Nanette,,Rep.,,H,CA,44,,,,,,,,
SB23,C00000729,30332960,,,PAC,BE AN AMERICAN PAC,,,,,,2640A MITCHAM DRIVE,,TALLAHASSEE,FL,32308,O2023,,2023-12-29,5000.00,0.00,Contribution to Federal Leadership PAC,011,C00824938,BE AN AMERICAN PAC,,,,,,,,,,,,,,,,,
SB23,C00000729,30332891,,,CCM,BERA FOR CONGRESS,,,,,,PO BOX 582496,,ELK GROVE,CA,95758,P2024,,2023-10-18,1500.00,0.00,Contribution to Federal Candidate,011,C00461061,BERA FOR CONGRESS,H0CA03078,Bera,Ami,,Rep.,,H,CA,06,,,,,,,,
SB23,C00000729,30332856,,,CCM,BERGMANFORCONGRESS,,,,,,"3585 BUNKER HILL RD, #434",,ACME,MI,49610,P2024,,2023-09-29,2500.00,0.00,Contribution to Federal Candidate,011,C00614214,BERGMANFORCONGRESS,H6MI01226,Bergman,Jack,,Rep.,,H,MI,01,,,,,,,,
