form_type,filer_committee_id_number,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,expenditure_date,expenditure_purpose_descrip,beneficiary_committee_name,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,category_code,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,election_code,election_other_description,expenditure_amount,semi_annual_refunded_bundled_amt,memo_code,memo_text_description,image_number,beneficiary_committee_fec_id
SB23,C00377754,FRIENDS OF NEAL DUNN,,,,,,PO BOX 16088,,PANAMA CITY,FL,34206,2024-04-26,POLITICAL CONTRIBUTION,,DUNN,NEAL,,,,011,H,FL,2,,,1000.00,,,,202408010300479020,C00582304
SB23,C00377754,KAT CAMMACK FOR CONGRESS,,,,,,5550 111TH NW BLVD,,GAINESVILLE,FL,32653,2024-04-26,POLITICAL CONTRIBUTION,,CAMMACK,KAT,,,,011,H,FL,3,,,1000.00,,,,202408010300479020,C00730895
SB23,C00377754,SCOTT FRANKLIN FOR CONGRESS,,,,,,1517 LONGWORTH,,WASHINGTON,DC,20515,2024-04-26,POLITICAL CONTRIBUTION,,FRANKLIN,SCOTT,C,,,011,H,FL,26,,,500.00,,,,202408010300479020,C00742247
SB23,C00377754,LOIS FRANKEL FOR CONGRESS,,,,,,PO BOX 15096,,WASHINGTON,DC,20003,2024-05-09,POLITICAL CONTRIBUTION,,FRANKEL,LOIS,J,,,011,H,FL,21,,,500.00,,,,202408010300479021,C00494856
SB23,C00377754,CITIZENS FOR JOHN RUTHERFORD,,,,,,4130 SALISBURY RD SUITE 2500,,JACKSONVILLE,FL,32216,2024-04-29,POLITICAL CONTRIBUTION,,RUTHERFORD,JOHN,,,,011,H,FL,5,,,1000.00,,,,202408010300479021,C00615294
SB23,C00377754,DARREN SOTO FOR CONGRESS,,,,,,804 BRYAN STREET,,KISSIMMEE,FL,34741,2024-04-29,POLITICAL CONTRIBUTION,,SOTO,DARREN,,,,011,H,FL,9,,,1000.00,,,,202408010300479021,C00581074
SB23,C00377754,DANIEL WEBSTER FOR CONGRESS,,,,,,318 SOUTH 2ND STREET #A,,LEESBURG,FL,34748,2024-04-29,POLITICAL CONTRIBUTION,,WEBSTER,DANIEL,,,,011,H,FL,11,,,500.00,,,,202408010300479022,C00481911
SB23,C00377754,AARON BEAN FOR CONGRESS,,,,,,1239 LONGWORTH HOB,,WASHINGTON,DC,20515,2024-04-29,POLITICAL CONTRIBUTION,,BEAN,AARON,,,,011,H,FL,4,,,500.00,,,,202408010300479022,C00816983
SB23,C00377754,MAXWELL ALEJANDRO FROST FOR CONGRESS,,,,,,1224 LONGWORTH HOB,,WASHINGTON,DC,20515,2024-04-29,POLITICAL CONTRIBUTION,,FROST,MAXWELL,ALEJANDRO,,,011,H,FL,10,,,500.00,,,,202408010300479022,C00786822
SB23,C00377754,LAUREL LEE FOR CONGRESS,,,,,,1118 LONGWORTH HOB,,WASHINGTON,DC,20515,2024-04-29,POLITICAL CONTRIBUTION,,LEE,LAUREL,,,,011,H,FL,15,,,500.00,,,,202408010300479023,C00815373
SB23,C00377754,GREG STEUBE FOR CONGRESS,,,,,,2457 RAYBURN HOB,,WASHINGTON,DC,20515,2024-04-29,POLITICAL CONTRIBUTION,,STEUBE,GREG,,,,011,H,FL,17,,,500.00,,,,202408010300479023,C00671891
