form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00144345,B887825,,,CCM,Cmte to Elect Angela V McKnight,,,,,,PO Box 15442,,Jersey City,NJ,07305,P2027,,2024-10-10,500.00,,P-2027 State Senate 31 NJ,011,,,,McKnight,Angela,V,,,S,NJ,31,,,,,,,,
SB29,C00144345,B887834,,,CCM,Friends of Nickie J. Antonio,,,,,,1305 Belle Avenue,,Lakewood,OH,44107,P2026,,2024-10-10,500.00,,P-2026 State Senate 23 OH,011,,,,Antonio,Nickie,,,,S,OH,23,,,,,,,,
SB29,C00144345,B887839,,,CCM,Tim Barhorst for Ohio,,,,,,140B Liberty Way,,Fort Loramie,OH,45845,G2024,,2024-10-10,500.00,,G-2024 State House 85 OH,011,,,,Barhorst,Tim,,,,H,OH,85,,,,,,,,
SB29,C00144345,B887837,,,CCM,Friends of Hearcel F. Craig,,,,,,545 E Town St.,,Columbus,OH,42315,P2026,,2024-10-10,500.00,,P-2026 State Senate 15 OH,011,,,,Craig,Hearcel,,,,S,OH,15,,,,,,,,
SB29,C00144345,B887841,,,CCM,Demetriou for Ohio,,,,,,8472 E. Washington Street Suite 22,,Chagrin Falls,OH,44023,G2024,,2024-10-10,500.00,,G-2024 State House 35 OH,011,,,,Demetriou,Steve,,,,H,OH,35,,,,,,,,
SB29,C00144345,B887836,,,CCM,Friends of Thomas Hall,,,,,,6364 Trenton Franklin Rd.,,Middletown,OH,45042,G2024,,2024-10-10,500.00,,G-2024 State House 46 OH,011,,,,Hall,Thomas,,,,H,OH,46,,,,,,,,
SB29,C00144345,B887838,,,CCM,Friends of Matt Huffman,,,,,,540 West Market St.,,Lima,OH,45801,G2024,,2024-10-10,700.00,,G-2024 State House 78 OH,011,,,,Huffman,Matt,,,,H,OH,78,,,,,,,,
SB29,C00144345,B887832,,,CCM,Steve Huffman for Ohio,,,,,,331 South Market St.,,TROY,OH,45373,P2026,,2024-10-10,500.00,,P-2026 State Senate 5 OH,011,,,,Huffman,Steve,,,,S,OH,05,,,,,,,,
SB29,C00144345,B887833,,,CCM,Friends of Beth Liston,,,,,,2193 Stratingham Dr.,,Dublin,OH,43016,G2024,,2024-10-10,500.00,,G-2024 State Senate 16 OH,011,,,,Liston,Beth,,,,S,OH,16,,,,,,,,
SB29,C00144345,B887831,,,CCM,Friends of Susan Manchester,,,,,,P.O. Box 844,,Columbus,OH,43216,G2024,,2024-10-10,500.00,,G-2024 State Senate 12 OH,011,,,,Manchester,Susan,,,,S,OH,12,,,,,,,,
SB29,C00144345,B887830,,,CCM,Gayle Manning for House,,,,,,5380 Barton Road,,North Ridgeville,OH,44039,G2024,,2024-10-10,400.00,,G-2024 State House 52 OH,011,,,,Manning,Gayle,,,,H,OH,52,,,,,,,,
SB29,C00144345,B887835,,,CCM,Citizens for McColley,,,,,,15 Lemans Drive,,Napoleon,OH,43545,P2026,,2024-10-10,500.00,,P-2026 State Senate 1 OH,011,,,,McColley,Robert,,,,S,OH,01,,,,,,,,
SB29,C00144345,B887840,,,CCM,FRIENDS OF JOE MILLER,,,,,,433 NORTHPOINTE BLVD,,AMHERST,OH,44001,G2024,,2024-10-10,500.00,,G-2024 State House 53 OH,011,,,,Miller,Joe,,,,H,OH,53,,,,,,,,
SB29,C00144345,B887829,,,CCM,Stephens for Ohio,,,,,,4679 WINTERSET DRIVE,,Columbus,OH,43220,G2024,,2024-10-10,700.00,,G-2024 State House 93 OH,011,,,,Stephens,Jason,,,,H,OH,93,,,,,,,,
SB29,C00144345,B887826,,,CCM,Michele Brooks for State Senate,,,,,,4963 Bush Road,,Jamestown,PA,16134,P2026,,2024-10-10,1000.00,,P-2026 State Senate 50 PA,011,,,,Brooks,Michele,,,,S,PA,50,,,,,,,,
SB29,C00144345,B887827,,,CCM,Taxpayers for Torren Ecker,,,,,,80 Stonybrook Lane,,New Oxford,PA,17350,G2024,,2024-10-10,1000.00,,G-2024 State House 193 PA,011,,,,Ecker,Torren,,,,H,PA,19,,,,,,,,
SB29,C00144345,B887828,,,CCM,Friends of Kristin Phillips-Hill,,,,,,PO Box 156,,Jacobus,PA,17407,P2026,,2024-10-10,1000.00,,P-2026 State Senate 28 PA,011,,,,Phillips-Hill,Kristin,,,,S,PA,28,,,,,,,,
