form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00756205,SB21B.4310,,,ORG,Alfred John,,,,,,2125 southers circle,,suwanee,GA,30025,G2024,,2024-10-30,1500.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4318,,,ORG,Beach for Senate Inc,,,,,,3100 Brierfield Rd,,Alpharetta,GA,30004,G2024,,2024-11-06,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4313,,,CCM,BRIAN JACK FOR CONGRESS,,,,,,225 MARKET PLACE CONNECTOR,NUM 1055,PEACHTREE CITY,GA,30269,G2024,,2024-11-01,5000.00,,,010,C00872473,BRIAN JACK FOR CONGRESS,,,,,,,H,GA,03,,,,,,,,
SB21B,C00756205,SB21B.4315,,,ORG,Committee to elect Jason Esteves,,,,,,2275 Marietta Blvd Nw,Suite 270-180,Atlanta,GA,30318,G2024,,2024-11-04,1500.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4317,,,ORG,Committee to elect Scott Hilton,,,,,,5455 Amberfield Dr,,Peachtree Corners,GA,30092,G2024,,2024-11-05,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4311,,,ORG,Emanuel Jones,,,,,,197 ward road,,ellenwood,GA,30294,G2024,,2024-10-31,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4309,,,ORG,Esther Panitch,,,,,,4243 Dunwoody Club Dr,suite 201,Atlanta,GA,30350,G2024,,2024-10-30,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4314,,,ORG,Friends of Greg Dolezal,,,,,,5255 Harris Spring Dr,,cumming,GA,30040,G2024,,2024-11-04,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4305,,,ORG,Friends of Todd Jones,,,,,,8175 Majors Ridge Way,,cumming,GA,30041,G2024,,2024-10-23,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4304,,,ORG,i360,,,,,,PO Box 663,,Arlington,VA,22216,G2024,,2024-10-18,540.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4316,,,ORG,i360,,,,,,PO Box 663,,Arlington,VA,22216,G2024,,2024-11-04,1022.97,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4333,,,ORG,Mcdonald for Georgia,,,,,,4180 creekwood drive,,cumming,GA,30041,G2024,,2024-11-05,3300.00,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00756205,SB21B.4308,,,CCM,SANFORD BISHOP FOR CONGRESS,,,,,,P O BOX 909,,COLUMBUS,GA,31902,G2024,,2024-10-28,5000.00,,,011,C00266940,SANFORD BISHOP FOR CONGRESS,,,,,,,H,GA,02,,,,,,,,
SB21B,C00756205,SB21B.4332,,,CCM,SUHAS FOR VIRGINIA,,,,,,PO BOX 302,,ASHBURN,VA,20146,G2024,,2024-11-06,5000.00,,,011,C00856963,,,,,,,,H,VA,10,,,,,,,,
SB21B,C00756205,SB21B.4303,,,ORG,The people for Nikki Merritt,,,,,,1911 Grayson Highway,,Grayson,GA,30017,G2024,,2024-10-17,3300.00,,,001,,,,,,,,,,,,,,,,,,,
