form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00850891,SB12B.963778,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2023-09-29,353.18,,MERCHANT FEES
SB21B,C00850891,SB12B.962754,,,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE AVE NW,STE 500,GRAND RAPIDS,MI,49503,,,2023-09-21,5.41,,FUNDRAISING FEES
SB21B,C00850891,SB12B.963432,,,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE AVE NW,STE 500,GRAND RAPIDS,MI,49503,,,2023-09-27,4.50,,FUNDRAISING FEES
SB21B,C00850891,SB12B.963585,,,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE AVE NW,STE 500,GRAND RAPIDS,MI,49503,,,2023-09-28,22.50,,FUNDRAISING FEES
SB21B,C00850891,SB12B.962752,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-09-21,53.91,,MERCHANT FEES
SB21B,C00850891,SB12B.962923,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-09-22,0.99,,MERCHANT FEES
SB21B,C00850891,SB12B.963431,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-09-27,28.10,,MERCHANT FEES
SB21B,C00850891,SB12B.963584,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-09-28,25.56,,MERCHANT FEES
SB21B,C00850891,SB12B.963754,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-09-29,20.51,,MERCHANT FEES
SB21B,C00850891,SB12B.968541,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-10-30,0.99,,MERCHANT FEES
SB21B,C00850891,SB12B.968728,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-10-13,39.40,,MERCHANT FEES
SB21B,C00850891,SB12B.972359,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-11-30,0.99,,MERCHANT FEES
SB21B,C00850891,SB12B.975888,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22219,,,2023-12-29,0.99,,MERCHANT FEES
