form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00083535,27554804,,,CCM,Kat For Congress,,,,,,5200 Nw 43rd St Ste 102-180,,Gainesville,FL,32606,G2024,,2024-10-21,2500.00,0.00,Direct Contribution,011,C00730895,Kat For Congress,H0FL03175,Cammack,Kat,,Rep.,,H,FL,03,,,,,,,,Direct Contribution
SB23,C00083535,27554805,,,CCM,Chuck Edwards For Congress,,,,,,337 North Main Street,,Hendersonville,NC,28792,G2024,,2024-10-21,1500.00,0.00,Direct Contribution,011,C00796433,Chuck Edwards For Congress,H2NC14050,Edwards,Chuck,,,,H,NC,11,,,,,,,,Direct Contribution
SB23,C00083535,27554806,,,CCM,Emmer For Congress,,,,,,PO Box 279,,Elk River,MN,55330,G2024,,2024-10-21,2500.00,0.00,Direct Contribution,011,C00545749,Emmer For Congress,H4MN06087,Emmer,Tom,,Rep.,Jr.,H,MN,06,,,,,,,,Direct Contribution
SB23,C00083535,27554807,,,CCM,Latta For Congress,,,,,,PO Box 106,,Bowling Green,OH,434020106,G2024,,2024-10-21,1000.00,0.00,Direct Contribution,011,C00438697,Latta For Congress,H8OH05036,Latta,Bob,,Rep.,,H,OH,05,,,,,,,,Direct Contribution
SB23,C00083535,27554808,,,PTY,NRCC - Building Fund,,,,,,320 First Street,,Washington,DC,20003,,,2024-10-21,15000.00,0.00,Direct Contribution,011,C00075820,,,,,,,,,,,,,,,,,,Direct Contribution
SB23,C00083535,27554809,,,CCM,Lisa Blunt Rochester For Senate,,,,,,P.O. Box 9767,,Wilmington,DE,19809,G2024,,2024-10-21,2500.00,0.00,Direct Contribution,011,C00843391,Lisa Blunt Rochester For Senate,S4DE00060,Blunt Rochester,Lisa,,Rep.,,S,DE,,,,,,,,,Direct Contribution
SB23,C00083535,27554810,,,CCM,Jason Smith For Congress,,,,,,PO Box 1324,,Cape Girardeau,MO,637021324,G2024,,2024-10-21,2000.00,0.00,Direct Contribution,011,C00541862,Jason Smith For Congress,H4MO08162,Smith,Jason,,Rep.,,H,MO,08,,,,,,,,Direct Contribution
SB23,C00083535,27554811,,,PAC,THOM PAC,,,,,,PO Box 97396,,Raleigh,NC,27624,,,2024-10-21,5000.00,0.00,Direct Contribution,011,C00571323,,,,,,,,,,,,,,,,,,Direct Contribution
SB23,C00083535,27576850,,,COM,Team Moreno,,,,,,P.O. Box 340797,,Columbus,OH,43234,,,2024-11-19,3000.00,0.00,"100% allocated to Bernie Moreno for Senate, 2024 Debt Retirement",011,,,,,,,,,,,,,,,,,,,"100% allocated to Bernie Moreno for Senate, 2024 Debt Retirement"
SB23,C00083535,27576854,,,PAC,Building a National Knowledgeable Security (BANKS) PAC,,,,,,PO Box 30844,,Bethesda,MD,20824,,,2024-11-19,1000.00,0.00,Direct Contribution,011,C00832469,,,,,,,,,,,,,,,,,,Direct Contribution
