form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00782664,SB23.4217,,,PAC,EIGHTEEN FIFTY-FOUR FUND,,,,,,1305 W 11TH ST,#213,HOUSTON,TX,77008,,,2024-06-06,50000.00,,FEDERAL CONTRIBUTION,,C00809483,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4219,,,PAC,FLORIDA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-06-18,20000.00,,FEDERAL CONTRIBUTION,,C00881474,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4220,,,PAC,FLORIDA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-06-28,1500000.00,,FEDERAL CONTRIBUTION,,C00881474,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4222,,,PAC,LOWCOUNTRY CONSERVATIVES,,,,,,2465 CENTREVILLE RD,NO J17-714,HERNDON,VA,20171,,,2024-04-26,500000.00,,FEDERAL CONTRIBUTION,,C00872127,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4228,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-04-08,100000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4229,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-04-12,50000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4224,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-04-17,500000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4226,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-04-18,45000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4230,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-04-19,45000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4231,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-04-22,303500.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4225,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-05-01,900000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
