form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00832550,SB21B.4124,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-08-31,237.50,,Credit Card Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4111,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-07-08,50.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4117,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-07-20,500.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4118,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-07-20,500.00,,,001,C00832550,Action Nevada PAC,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4119,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-07-26,306.25,,,001,C00832550,Action Nevada PAC,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4153,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-08-08,200.00,,,,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4127,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-09-12,353.15,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4128,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-10-09,350.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4133,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-11-07,350.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4125,,,ORG,KAP Strategies,,,,,,220 Quinn Dr,,Dripping Springs,TX,78620,,,2023-09-05,5000.00,,PAC Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4129,,,ORG,KAP Strategies,,,,,,220 Quinn Dr,,Dripping Springs,TX,78620,,,2023-10-03,5000.00,,PAC Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00832550,SB21B.4130,,,ORG,KAP Strategies,,,,,,220 Quinn Dr,,Dripping Springs,TX,78620,,,2023-11-01,5000.00,,PAC Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
