form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00551853,SB21B.I27735,,,ORG,AMERICAN AIRLINES,,,,,,4333  AMON CARTER BOULEVARD,,FORT WORTH,TX,761552605,,,2024-10-15,1164.95,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27525,,,ORG,ANEDOT,,,,,,4017 BUENA VISTA ST UNIT 109,,DALLAS,TX,75204,,,2024-10-01,181.50,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27527,,,ORG,ANEDOT,,,,,,4017 BUENA VISTA ST UNIT 109,,DALLAS,TX,75204,,,2024-10-02,261.20,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27714,,,ORG,ANEDOT,,,,,,4017 BUENA VISTA ST UNIT 109,,DALLAS,TX,75204,,,2024-10-08,200.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27500,,,ORG,BROGHAMER CONSULTING LLC,,,,,,502 MONROE ST,,NEWPORT,KY,410712006,,,2024-10-03,3077.65,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27501,,,ORG,"EC CONSULTING, LLC",,,,,,PO BOX 40323,,WASHINGTON,DC,200162705,,,2024-10-03,32022.13,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27528,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,940431351,,,2024-10-02,36.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27712,,,ORG,KESWICK HALL AND GOLF CLUB,,,,,,701 CLUB DR,,KESWICK,VA,22947,,,2024-10-03,105.00,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27713,,,ORG,KESWICK HALL AND GOLF CLUB,,,,,,701 CLUB DR,,KESWICK,VA,22947,,,2024-10-07,-729.27,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27499,,,ORG,LIMESTONE STRATEGIES,,,,,,"5750  CASTLE CREEK PKWY N DR, SUIT",SUITE 367,INDIANAPOLIS,IN,46250,,,2024-10-03,5000.00,,POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27716,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-08,50.60,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27717,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-09,34.69,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27718,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-09,36.13,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27719,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-09,103.27,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27724,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-10,37.42,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27726,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-10,50.02,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27728,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-11,73.65,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27734,,,ORG,LYFT,,,,,,185 BERRY ST,,SAN FRANCISCO,CA,94107,,,2024-10-15,44.95,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00551853,SB21B.I27721,,,ORG,PALMERI RISTORANTE,,,,,,11650 SAN VICENTE BOULEVARD,,LOS ANGELES,CA,90049,,,2024-10-09,245.67,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
