form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00096362,SB29.10724,,,COM,ANDREW FINK FOR MICHIGAN SUPREME COURT,,,,,,106 W ALLEGAN,STE 20,LANSING,MI,48933,,,2024-09-24,15000.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10729,,,CCM,CITIZENS TO ELECT CADY NESS-SMITH,,,,,,PO BOX 101,,EAGLE,MI,48823,,,2024-09-24,1000.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10732,,,COM,COMMITTEE TO ELECT JOE PAVLOV,,,,,,350 SCOTT RD,,Kimball,MI,48074,,,2024-09-24,1000.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10707,,,COM,COMMITTEE TO ELECT JOE PAVLOV,,,,,,350 SCOTT RD,,Kimball,MI,48074,,,2024-09-27,500.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10735,,,COM,COMMITTEE TO ELECT LISA TROMBLEY,,,,,,PO BOX 407,,BATH,MI,48808,,,2024-09-24,5000.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10726,,,CCM,COMMITTEE TO ELECT STEVE FRISBIE FOR STATE HOUSE,,,,,,1541 MORESE ROAD,,BATTLE CREEK,MI,49014,,,2024-09-24,2000.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10713,,,COM,CTE GREG ALEXANDER FOR STATE REPRESENTATIVE,,,,,,2646 WASHINGTON ROAD,,CARSONVILLE,MI,48419,,,2024-07-31,250.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10737,,,CCM,JASON WOOLFORD FOR STATE REPRESENTATIVE,,,,,,142 EASTDALE DRIVE,,HOWELL,MI,48843,,,2024-09-24,500.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10712,,,CCM,JENNIFER WORTZ CTE FOR STATE REP,,,,,,172 N. RAY-QUINCY RD,,QUINCY,MI,49082,,,2024-09-24,100.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00096362,SB29.10730,,,COM,JUDGE PATRICK WILLIAM OGRADY FOR MICHIGAN SUPREME COURT,,,,,,PO BOX 253,,COLDWATER,MI,49036,,,2024-09-24,10000.00,,DIRECT CONTRIBUTION,012,C00096362,MICHIGAN FARM BUREAU POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,
