form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00866947,SB21B.6,,,ORG,ARISTEIA GROUP INC,,,,,,"1020 N FAIRFAX ST, STE 201",,ALEXANDRIA,VA,22314,,,2024-12-16,208.50,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.7,,,ORG,CITIBANK,,,,,,388 GREENWICH ST,,NEW YORK,NY,10013,,,2024-12-10,2791.56,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.101,SB21B.7,SB21B,ORG,CORCORAN CATERERS,,,,,,2401 MONTGOMERY ST,,SILVER SPRING,MD,20910,,,2024-12-10,2791.56,,CATERING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00866947,SB21B.8,,,ORG,CITIBANK,,,,,,388 GREENWICH ST,,NEW YORK,NY,10013,,,2024-12-31,25.78,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.103,SB21B.8,SB21B,ORG,UBER,,,,,,1725 3RD ST,,SAN FRANCISCO,CA,94158,,,2024-12-31,25.78,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00866947,SB21B.1,,,ORG,SALVATORE PURPURA,,,,,,478 STIRLING BRIDGE DR,,ORMOND BEACH,FL,32174,,,2024-12-03,437.50,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.2,,,ORG,WINRED,,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-12-05,64.00,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.3,,,ORG,WINRED,,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-12-18,96.00,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.4,,,ORG,WINRED,,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-12-20,16.00,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.5,,,ORG,WINRED,,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2024-12-31,16.00,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00866947,SB21B.620599,,,PAC,DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC POLITICAL,,,,,,101 CONSTITUTION AVE NW,STE 350W ,WASHINGTON,DC,200016364,,,2024-12-23,988.56,,IN-KIND CONTRIBUTION,,C00030734,,,,,,,,,,,  ,,,,,,,IN KIND CATERING
