form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695940,500025600,,,ORG,Katherine Buchanan,,,,,,PO Box 1619,,Bethany Beach,DE,199301619,,,2023-04-30,6750.00,0.00,Accounting/Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025851,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-05-07,337.76,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025803,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2023-04-26,115.00,0.00,Bank Service Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025913,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-05-21,1775.56,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500026143,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2023-06-25,80.00,0.00,Bank Service Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025963,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-05-28,130.35,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025793,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-04-23,88.88,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025974,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2023-05-26,65.00,0.00,Bank Service Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025815,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-04-30,440.47,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025885,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-05-14,118.52,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025986,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-05-31,3.95,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025737,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-04-16,288.37,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500026018,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-06-11,477.95,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00695940,500025699,,,PAC,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2023-04-09,339.70,0.00,Processing Fee,,C00401224,,,,,,,,,,,,,,,,,,
