form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00764233,500059917,,,CCM,ANDREA SALINAS FOR OREGON,,,,,,PO Box 230985,,Tigard,OR,972810985,P2024,,2023-03-28,2500.00,0.00,Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,,
SB23,C00764233,500061217,,,CCM,ANGIE CRAIG FOR CONGRESS,,,,,,PO Box 22116,,Eagan,MN,551220116,P2024,,2023-06-30,1000.00,0.00,Contribution,,C00575209,,,CRAIG,ANGELA,DAWN,,,H,MN,02,,,,,,,,
SB23,C00764233,500059919,,,CCM,BARRAGAN FOR CONGRESS,,,,,,1840 S Gaffey St,# 421,San Pedro,CA,907315324,P2024,,2023-03-29,5000.00,0.00,Contribution,,C00577353,,,BARRAGAN,NANETTE,,,,H,CA,44,,,,,,,,
SB23,C00764233,500059912,,,CCM,BRITTANY PETTERSEN FOR COLORADO,,,,,,PO Box 150887,,Lakewood,CO,802150887,P2024,,2023-03-28,2500.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,,
SB23,C00764233,500061197,,,CCM,BRITTANY PETTERSEN FOR COLORADO,,,,,,PO Box 150887,,Lakewood,CO,802150887,P2024,,2023-05-17,1000.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,,
SB23,C00764233,500059916,,,CCM,CARAVEO FOR CONGRESS,,,,,,PO Box 953,,Eastlake,CO,806140953,P2024,,2023-03-28,2500.00,0.00,Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00764233,500061201,,,PAC,CHC BOLD PAC,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-05-31,5000.00,0.00,Contribution,,C00365536,CHC BOLD PAC,,,,,,,,,,,,,,,,,
SB23,C00764233,500062019,,,PAC,CHRIS DELUZIO FOR CONGRESS,,,,,,PO Box 16210,,Pittsburgh,PA,152420210,P2024,,2023-06-20,2500.00,0.00,Contribution,,C00787648,CHRIS DELUZIO FOR CONGRESS,,,,,,,,,,,,,,,,,
SB23,C00764233,500061218,,,CCM,CHRIS PAPPAS FOR CONGRESS,,,,,,PO Box 313,,Manchester,NH,031050313,P2024,,2023-06-30,1000.00,0.00,Contribution,,C00660464,,,PAPPAS,CHRIS,,,,H,NH,01,,,,,,,,
SB23,C00764233,500063509,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO Box 601631,,Dallas,TX,753601631,P2024,,2023-06-30,5000.00,0.00,Contribution,,C00839597,,,ALLRED,COLIN,,,,S,TX,00,,,,,,,,
