form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00235853,500499772,,,ORG,American Express Establishment Services,,,,,,12138 Central Ave,# 3886,Mitchellville,MD,207211910,,,2023-08-07,539.13,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500499770,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-12,3155.81,0.00,Event Advocacy,,,,,,,,,,,,,,,,,,,,"Original Vendor: Grant Hotel, 326 Broadway, San Diego, CA 92101"
SB21B,C00235853,500499781,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-15,-100.00,0.00,draw 8/15/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Andrea Jenkins for Ward 8)
SB21B,C00235853,500499782,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-15,-30.26,0.00,draw 8/15/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Andrea Jenkins for Ward 8)
SB21B,C00235853,500499777,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-23,-40.85,0.00,draw 8/23/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Committee to Elect Fabian Nelson)
SB21B,C00235853,500499778,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-23,-200.00,0.00,draw 8/23/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Committee to Elect Fabian Nelson)
SB21B,C00235853,500499786,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-27,-10.59,0.00,draw 8/27/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500499787,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-28,-10.59,0.00,draw 8/28/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500501333,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500501334,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Rouse for Senate)
SB21B,C00235853,500501335,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Monty Mason)
SB21B,C00235853,500501336,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Joel Griffin for Virginia)
SB21B,C00235853,500501337,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Russet Perry)
SB21B,C00235853,500501338,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Ebbin for Virginia)
SB21B,C00235853,500501339,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Adele for Delegate)
SB21B,C00235853,500501340,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Laura Jane Cohen)
SB21B,C00235853,500501341,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Sickles for Delegate)
SB21B,C00235853,500501342,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Henson for VA)
SB21B,C00235853,500501343,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Josh Thomas for Delegate)
SB21B,C00235853,500501344,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Travis Nembhard)
